"year","geography","geoid","coverage","naics_vintage","code","label","tier","establishments","receipts_usd","establishment_flag","receipt_flag","noise_flag","doc_id","locator"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","00","All nonemployer industries","benchmark","77829","4271916000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=00;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","315","Apparel manufacturing","mixed-production","98","3780000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=315;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","316","Leather and allied product manufacturing","mixed-production","18","961000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=316;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","321","Wood product manufacturing","mixed-production","77","3570000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=321;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","3231","Printing and related support activities","mixed-production","84","4585000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3231;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","3271","Clay product and refractory manufacturing","mixed-production","30","830000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3271;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","3272","Glass and glass product manufacturing","mixed-production","16","709000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3272;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","332","Fabricated metal product manufacturing","mixed-production","84","4706000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=332;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","337","Furniture and related product manufacturing","mixed-production","101","4457000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=337;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","3399","Other miscellaneous manufacturing","mixed-production","221","19763000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3399;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","5414","Specialized design services","creative-services","2051","80633000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=5414;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","54192","Photographic services","creative-services","968","34438000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=54192;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","7115","Independent artists, writers, and performers","mixed-creative","7472","177907000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=7115;RCPTOT thousands converted to dollars"
"2023","Multnomah County OR","41051","tax-reporting nonemployer establishments; NES universe; geography generally mailing address","2022","81142","Reupholstery and furniture repair","mixed-production","34","2065000","","","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=81142;RCPTOT thousands converted to dollars"
