"year","geography","geoid","coverage","naics_vintage","code","label","tier","annual_avg_establishments","annual_avg_jobs","annual_payroll_usd","average_annual_pay_usd","employment_location_quotient","disclosure_code","status","doc_id","locator"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","10","All private industries","benchmark","35479","447067","26891861569","60152","1.01","","published","qcew2019","area_fips=41051;own_code=5;industry_code=10;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","327110","Pottery, ceramics, and plumbing fixture manufacturing","selected-production","5","41","1403784","34308","0.78","","published","qcew2019","area_fips=41051;own_code=5;industry_code=327110;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","337122","Nonupholstered wood household furniture manufacturing","selected-production","14","94","3566291","37839","0.9","","published","qcew2019","area_fips=41051;own_code=5;industry_code=337122;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","337212","Custom architectural woodwork and millwork manufacturing","selected-production","7","46","2172950","46814","0.53","","published","qcew2019","area_fips=41051;own_code=5;industry_code=337212;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","339910","Jewelry and silverware manufacturing","selected-production","24","106","3732440","35379","1.31","","published","qcew2019","area_fips=41051;own_code=5;industry_code=339910;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","339992","Musical instrument manufacturing","selected-production","7","51","1993346","39213","1.33","","published","qcew2019","area_fips=41051;own_code=5;industry_code=339992;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","332323","Ornamental and architectural metal work manufacturing","mixed-production","27","304","15223412","50077","2.03","","published","qcew2019","area_fips=41051;own_code=5;industry_code=332323;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","337121","Upholstered household furniture manufacturing","mixed-production","3","53","1814985","34516","0.26","","published","qcew2019","area_fips=41051;own_code=5;industry_code=337121;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","323113","Commercial screen printing","mixed-production","26","","","","","N","employment-and-pay-suppressed","qcew2019","area_fips=41051;own_code=5;industry_code=323113;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","315","Apparel manufacturing","mixed-production","27","444","21123689","47594","1.17","","published","qcew2019","area_fips=41051;own_code=5;industry_code=315;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","316","Leather and allied product manufacturing","mixed-production","17","349","15610524","44697","3.62","","published","qcew2019","area_fips=41051;own_code=5;industry_code=316;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","811420","Reupholstery and furniture repair","mixed-production","13","41","1151029","27904","0.81","","published","qcew2019","area_fips=41051;own_code=5;industry_code=811420;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","711510","Independent artists, writers, and performers","mixed-creative","97","246","13934589","56587","1.32","","published","qcew2019","area_fips=41051;own_code=5;industry_code=711510;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","541420","Industrial design services","creative-services","17","116","10349691","88902","1.75","","published","qcew2019","area_fips=41051;own_code=5;industry_code=541420;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","541430","Graphic design services","creative-services","163","1041","74945020","71970","4.88","","published","qcew2019","area_fips=41051;own_code=5;industry_code=541430;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","541490","Other specialized design services","creative-services","42","169","13940990","82410","2.94","","published","qcew2019","area_fips=41051;own_code=5;industry_code=541490;size_code=0;year=2019;qtr=A"
"2019","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2017","611610","Fine arts schools","infrastructure","68","597","10569574","17695","1.62","","published","qcew2019","area_fips=41051;own_code=5;industry_code=611610;size_code=0;year=2019;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","10","All private industries","benchmark","42569","431735","32626642747","75571","0.99","","published","qcew2023","area_fips=41051;own_code=5;industry_code=10;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","327110","Pottery, ceramics, and plumbing fixture manufacturing","selected-production","11","76","3001155","39750","1.66","","published","qcew2023","area_fips=41051;own_code=5;industry_code=327110;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337122","Nonupholstered wood household furniture manufacturing","selected-production","18","78","3891885","50164","0.85","","published","qcew2023","area_fips=41051;own_code=5;industry_code=337122;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337212","Custom architectural woodwork and millwork manufacturing","selected-production","6","40","2188476","55288","0.46","","published","qcew2023","area_fips=41051;own_code=5;industry_code=337212;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","339910","Jewelry and silverware manufacturing","selected-production","28","136","7152235","52784","1.87","","published","qcew2023","area_fips=41051;own_code=5;industry_code=339910;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","339992","Musical instrument manufacturing","selected-production","8","","","","","N","employment-and-pay-suppressed","qcew2023","area_fips=41051;own_code=5;industry_code=339992;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","332323","Ornamental and architectural metal work manufacturing","mixed-production","24","214","13571567","63517","1.49","","published","qcew2023","area_fips=41051;own_code=5;industry_code=332323;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337121","Upholstered household furniture manufacturing","mixed-production","2","","","","","N","employment-and-pay-suppressed","qcew2023","area_fips=41051;own_code=5;industry_code=337121;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","323113","Commercial screen printing","mixed-production","28","","","","","N","employment-and-pay-suppressed","qcew2023","area_fips=41051;own_code=5;industry_code=323113;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","315","Apparel manufacturing","mixed-production","34","433","23418482","54063","1.48","","published","qcew2023","area_fips=41051;own_code=5;industry_code=315;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","316","Leather and allied product manufacturing","mixed-production","12","283","14454928","51153","3.25","","published","qcew2023","area_fips=41051;own_code=5;industry_code=316;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","811420","Reupholstery and furniture repair","mixed-production","17","48","1923523","40354","1.1","","published","qcew2023","area_fips=41051;own_code=5;industry_code=811420;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","711510","Independent artists, writers, and performers","mixed-creative","116","288","17070316","59186","1.46","","published","qcew2023","area_fips=41051;own_code=5;industry_code=711510;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541420","Industrial design services","creative-services","21","71","6643197","93676","1.13","","published","qcew2023","area_fips=41051;own_code=5;industry_code=541420;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541430","Graphic design services","creative-services","209","757","63535644","83922","3.96","","published","qcew2023","area_fips=41051;own_code=5;industry_code=541430;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","541490","Other specialized design services","creative-services","58","154","15560019","100766","2.39","","published","qcew2023","area_fips=41051;own_code=5;industry_code=541490;size_code=0;year=2023;qtr=A"
"2023","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","611610","Fine arts schools","infrastructure","77","609","13339584","21916","1.57","","published","qcew2023","area_fips=41051;own_code=5;industry_code=611610;size_code=0;year=2023;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","10","All private industries","benchmark","37763","415659","33661420486","80983","0.98","","published","qcew2025","area_fips=41051;own_code=5;industry_code=10;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","327110","Pottery, ceramics, and plumbing fixture manufacturing","selected-production","13","65","2736229","41988","1.66","","published","qcew2025","area_fips=41051;own_code=5;industry_code=327110;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337122","Nonupholstered wood household furniture manufacturing","selected-production","16","68","3736152","55011","0.9","","published","qcew2025","area_fips=41051;own_code=5;industry_code=337122;size_code=0;year=2025;qtr=A"
"2025","Multnomah County OR","41051","QCEW private ownership; covered payroll jobs","2022","337212","Custom architectural woodwork and millwork manufacturing","selected-production","8","69","5214425","75480","0.8","","published","qcew2025","area_fips=41051;own_code=5;industry_code=337212;size_code=0;year=2025;qtr=A"
