"code","label","geography","coverage","start_year","end_year","jobs_2019","jobs_2025","jobs_change_pct","share_of_private_jobs_2025_pct","average_annual_pay_2025_usd","pay_vs_private_average_2025_pct","employment_location_quotient_2025","doc_id","locator","note"
"10","All private industries","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","447067","415659","-7.025","100.0000","80983","100.00","0.98","qcew2019;qcew2025","code=10;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"327110","Pottery, ceramics, and plumbing fixture manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","41","65","58.537","0.0156","41988","51.85","1.66","qcew2019;qcew2025","code=327110;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"337122","Nonupholstered wood household furniture manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","94","68","-27.660","0.0164","55011","67.93","0.9","qcew2019;qcew2025","code=337122;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"337212","Custom architectural woodwork and millwork manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","46","69","50.000","0.0166","75480","93.20","0.8","qcew2019;qcew2025","code=337212;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"339910","Jewelry and silverware manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","106","127","19.811","0.0306","53439","65.99","1.98","qcew2019;qcew2025","code=339910;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"339992","Musical instrument manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","51","36","-29.412","0.0087","50921","62.88","1.05","qcew2019;qcew2025","code=339992;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"332323","Ornamental and architectural metal work manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","304","270","-11.184","0.0650","78926","97.46","1.92","qcew2019;qcew2025","code=332323;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"337121","Upholstered household furniture manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","53","","","","","","","qcew2019;qcew2025","code=337121;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"323113","Commercial screen printing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","","","","","","","","qcew2019;qcew2025","code=323113;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"315","Apparel manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","444","363","-18.243","0.0873","54338","67.10","1.45","qcew2019;qcew2025","code=315;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"316","Leather and allied product manufacturing","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","349","","","","","","","qcew2019;qcew2025","code=316;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"811420","Reupholstery and furniture repair","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","41","","","","","","","qcew2019;qcew2025","code=811420;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"711510","Independent artists, writers, and performers","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","246","217","-11.789","0.0522","108291","133.72","1.15","qcew2019;qcew2025","code=711510;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"541420","Industrial design services","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","116","68","-41.379","0.0164","105528","130.31","1.1","qcew2019;qcew2025","code=541420;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"541430","Graphic design services","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","1041","566","-45.629","0.1362","92273","113.94","3.45","qcew2019;qcew2025","code=541430;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"541490","Other specialized design services","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","169","122","-27.811","0.0294","99639","123.04","1.92","qcew2019;qcew2025","code=541490;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
"611610","Fine arts schools","Multnomah County OR","QCEW private ownership; covered payroll jobs","2019","2025","597","589","-1.340","0.1417","22434","27.70","1.44","qcew2019;qcew2025","code=611610;own_code=5;size_code=0;area_fips=41051","County industry jobs; not maker people. Pay is nominal and affected by hours and mix."
