"code","label","year","geography","establishments","receipts_usd","mean_receipts_per_establishment_usd","share_of_all_nonemployer_establishments_pct","noise_flag","doc_id","locator","note"
"315","Apparel manufacturing","2023","Multnomah County OR","98","3780000","38571.43","0.126","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=315;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"316","Leather and allied product manufacturing","2023","Multnomah County OR","18","961000","53388.89","0.023","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=316;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"321","Wood product manufacturing","2023","Multnomah County OR","77","3570000","46363.64","0.099","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=321;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"3231","Printing and related support activities","2023","Multnomah County OR","84","4585000","54583.33","0.108","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3231;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"3271","Clay product and refractory manufacturing","2023","Multnomah County OR","30","830000","27666.67","0.039","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3271;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"3272","Glass and glass product manufacturing","2023","Multnomah County OR","16","709000","44312.50","0.021","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3272;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"332","Fabricated metal product manufacturing","2023","Multnomah County OR","84","4706000","56023.81","0.108","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=332;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"337","Furniture and related product manufacturing","2023","Multnomah County OR","101","4457000","44128.71","0.130","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=337;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"3399","Other miscellaneous manufacturing","2023","Multnomah County OR","221","19763000","89425.34","0.284","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=3399;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"5414","Specialized design services","2023","Multnomah County OR","2051","80633000","39313.99","2.635","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=5414;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"54192","Photographic services","2023","Multnomah County OR","968","34438000","35576.45","1.244","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=54192;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"7115","Independent artists, writers, and performers","2023","Multnomah County OR","7472","177907000","23809.82","9.601","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=7115;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
"81142","Reupholstery and furniture repair","2023","Multnomah County OR","34","2065000","60735.29","0.044","G","nes2023","nonemp23co.txt;ST=41;CTY=051;NAICS=81142;RCPTOT thousands converted to dollars","Mean gross receipts; not median income or owner take-home. Categories contain non-makers."
