observation_id,metric,value,unit,period,geography,coverage,doc_id,locator,notes
aep-org-spend,Nonprofit organization expenditures,237827427,nominal USD,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-audience-spend,Event-related audience expenditures,167314696,nominal USD,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-total-spend,Combined direct expenditures,405142123,nominal USD,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-jobs,Modeled jobs supported including indirect and induced,6446,jobs supported,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-attendance,Event attendances,4589494,attendances,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-local-tax,Modeled city and county tax revenue,10488795,nominal USD,FY2022,Portland study; Multnomah County impact model,Participating nonprofit arts/culture organizations and audiences,aep6-portland,PDF p.1,Not the full creative/maker economy; not additive across measures
aep-respondents,Responding organizations,184,organizations,Organization FY2022; audience survey May 2022-June 2023,Portland study,AEP6 local participation,aep6-portland,PDF p.2,No organization nonresponse expansion; local attendees defined as Multnomah residents
aep-eligible,Eligible organizations identified,894,organizations,Organization FY2022; audience survey May 2022-June 2023,Portland study,AEP6 local participation,aep6-portland,PDF p.2,No organization nonresponse expansion; local attendees defined as Multnomah residents
aep-audience-surveys,Valid audience surveys,1300,survey responses,Organization FY2022; audience survey May 2022-June 2023,Portland study,AEP6 local participation,aep6-portland,PDF p.2,No organization nonresponse expansion; local attendees defined as Multnomah residents
ocf-jobs,Creative occupation jobs,44704,jobs including self-employment,2022,Clackamas; Multnomah; Washington counties,WESTAF 75 occupations / 81 industries; vintage 2023.2,ocf-economy,PDF pp.1-2,Industry earnings and occupation jobs use different universes; retain publisher terminology
ocf-earnings,Creative industry earnings,5000000000,nominal USD rounded from $5.0B,2022,Clackamas; Multnomah; Washington counties,WESTAF 75 occupations / 81 industries; vintage 2023.2,ocf-economy,PDF pp.1-2,Industry earnings and occupation jobs use different universes; retain publisher terminology
ocf-software,Software publisher earnings,1800000000,nominal USD rounded from $1.8B,2022,Clackamas; Multnomah; Washington counties,WESTAF 75 occupations / 81 industries; vintage 2023.2,ocf-economy,PDF pp.1-2,Industry earnings and occupation jobs use different universes; retain publisher terminology
ocf-cvi,Creative Vitality Index,1.44,index US=1,2022,Clackamas; Multnomah; Washington counties,WESTAF 75 occupations / 81 industries; vintage 2023.2,ocf-economy,PDF pp.1-2,Industry earnings and occupation jobs use different universes; retain publisher terminology
past-members,Reported members,175,members,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,past-home,headline counters,Never sum across sites or multiply by dues to estimate revenue
past-studios,Reported private studios,55,studios,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,past-home,headline counters,Never sum across sites or multiply by dues to estimate revenue
past-commissions,Reported completed commissions,176,commissions,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,past-home,headline counters,Never sum across sites or multiply by dues to estimate revenue
past-area,Reported facility area,26000,square feet,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,past-home,welcome and counters,Never sum across sites or multiply by dues to estimate revenue
adx-creatives,Reported community size threshold,95,creatives; strictly greater than,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,adx-studios,Meet ADX MEMBERS,Never sum across sites or multiply by dues to estimate revenue
adx-wood-capacity,Woodshop membership limit,20,membership capacity,Unspecified; webpage observed 2026-09-15,Portland facility,Operator-reported; unverified current active headcount,adx-woodshop,Connect with Other Woodworkers,Never sum across sites or multiply by dues to estimate revenue
