name,holder,kind,geometry,coverage,url,access,verified,notes,verification_stage
ODF Smoke Daily Planned,ODF Smoke Management,ArcGIS FeatureServer,point,rolling: today,https://gis.odf.oregon.gov/odfags/rest/services/Fire/Fire_Smoke_Management/FeatureServer/0,public,2026-09-10,Fields: DistrictName County RegistrationNumber TRS Elevation DistanceFromSSRA Ownership FirstName LastName BusinessName SaleName AcresPlanned Plan_Types TotalUnitTons TotalTonsPlanned PlannedIgnitionTime BurnType BurnBossName. 0 rows on 2026-09-10 (endpoint returned zero records; cause unknown).,queried
ODF Smoke Daily Accomplished,ODF Smoke Management,ArcGIS FeatureServer,point,rolling: today,https://gis.odf.oregon.gov/odfags/rest/services/Fire/Fire_Smoke_Management/FeatureServer/1,public,2026-09-10,Adds ActualIgnitionTime TotalTonsBurned.,queried
ODF Smoke 3 Day Planned,ODF Smoke Management,ArcGIS FeatureServer,point,rolling: 3 days,https://gis.odf.oregon.gov/odfags/rest/services/Fire/Fire_Smoke_Management/FeatureServer/2,public,2026-09-10,,queried
ODF Smoke 3 Day Accomplished,ODF Smoke Management,ArcGIS FeatureServer,point,rolling: 3 days,https://gis.odf.oregon.gov/odfags/rest/services/Fire/Fire_Smoke_Management/FeatureServer/3,public,2026-09-10,Adds UnitAcres LandingAcres LandingTons PileAcres PileTons BroadcastAcres BroadcastTons. Poll daily and archive; this is the only public per-burn feed.,queried
ODF Prescribed Fire Map (Experience),ODF Smoke Management,ArcGIS Experience,app,rolling,https://experience.arcgis.com/experience/909972015b8c4bbaa4736d9fdeb55800,public,2026-09-10,Front end for the four layers above plus SSRA and PLSS layers.,discovered
ODF Smoke Data System,ODF Smoke Management,web app,tabular,all registrations and accomplishments,https://apps.odf.oregon.gov/SmokeDataSystem/#/,login required (HTTP 401),2026-09-10,System of record. Annual report 2025: 2946 registered units and 2717 units burned. Request an export.,discovered
ODF Daily Plans PDF,ODF Smoke Management,PDF,tabular,today,http://www.odf.state.or.us/DIVISIONS/protection/fire_protection/Daily/rptDailyPlans7A.pdf,public,2026-09-10 (link from ODF page; not fetched),,discovered
ODF Daily Accomplishments PDF,ODF Smoke Management,PDF,tabular,today,http://www.odf.state.or.us/DIVISIONS/protection/fire_protection/Daily/rptDailyAccomplishments6A.pdf,public,2026-09-10 (link from ODF page; not fetched),,discovered
ODF Weekly Registration PDF,ODF Smoke Management,PDF,tabular,last 7 days,http://www.odf.state.or.us/DIVISIONS/protection/fire_protection/Daily/rptAvailableUnitsWeekly.pdf,public,2026-09-10 (link from ODF page; not fetched),,discovered
ODF Weekly Accomplishments PDF,ODF Smoke Management,PDF,tabular,last 7 days,http://www.odf.state.or.us/DIVISIONS/protection/fire_protection/Daily/rptAccomplishmentWeekly.pdf,public,2026-09-10 (link from ODF page; not fetched),,discovered
