fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
101 General Fund,,579158.367,2015-16,revised,budget-fy2016-17-book,66,native unit whole dollars; table prints requirements only (Oregon budgets balance per fund; per-fund resources not tabulated here),fy2016-17
101 General Fund,583731.903,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,83,native unit whole dollars; resources_k=requirements_k because each fund detail prints one balanced total (Total Resources by Account = Total Requirements),fy2018-19
201 Student Body Activity Fund,,12521.725,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
201 Student Body Activity Fund,11926.225,11926.225,2015-16,actual-budgetary,budget-fy2018-19-book,93,,fy2018-19
202 Cafeteria Fund,,24320.277,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
202 Cafeteria Fund,24507.905,24507.905,2015-16,actual-budgetary,budget-fy2018-19-book,94,,fy2018-19
205 Grants Fund,,64735.028,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
205 Grants Fund,58568.194,58568.194,2015-16,actual-budgetary,budget-fy2018-19-book,97,,fy2018-19
225 PERS Rate Stabilization Reserve Fund,,16338.514,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
225 PERS Rate Stabilization Reserve Fund,16396.181,16396.181,2015-16,actual-budgetary,budget-fy2018-19-book,106,,fy2018-19
299 Dedicated Resource Fund,,17106.653,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
299 Dedicated Resource Fund,15097.013,15097.013,2015-16,actual-budgetary,budget-fy2018-19-book,107,,fy2018-19
307 IT Projects Debt Service Fund,,2707.98,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
307 IT Projects Debt Service Fund,2707.980,2707.980,2015-16,actual-budgetary,budget-fy2018-19-book,114,,fy2018-19
308 PERS UAL Debt Service Fund,,43847.574,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
308 PERS UAL Debt Service Fund,42318.303,42318.303,2015-16,actual-budgetary,budget-fy2018-19-book,115,,fy2018-19
320 Full Faith and Credit Debt Service Fund,,1285.549,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
320 Full Faith and Credit Debt Service Fund,1285.548,1285.548,2015-16,actual-budgetary,budget-fy2018-19-book,116,,fy2018-19
350 GO Bonds Debt Service Fund,50020.758,50020.758,2015-16,actual-budgetary,budget-fy2018-19-book,117,,fy2018-19
350 GO Bonds Debt Service Funds,,48711.589,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
404 Construction Excise Fund,,18439.955,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
404 Construction Excise Fund,18917.150,18917.150,2015-16,actual-budgetary,budget-fy2018-19-book,118,,fy2018-19
407 IT System Project Fund,,5273.251,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
407 IT System Project Fund,5287.020,5287.020,2015-16,actual-budgetary,budget-fy2018-19-book,120,,fy2018-19
420 Full Faith and Credit Fund,,55.38,2015-16,revised,budget-fy2016-17-book,66,fund winding down; dash (no budget) in all 2016/17 columns,fy2016-17
420 Full Faith and Credit Fund,55.380,55.380,2015-16,actual-budgetary,budget-fy2018-19-book,122,,fy2018-19
435 Energy Efficient Schools Fund,,1724.572,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
435 Energy Efficient Schools Fund,1596.717,1596.717,2015-16,actual-budgetary,budget-fy2018-19-book,124,,fy2018-19
438 Facilities Capital Fund,,7599.094,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
438 Facilities Capital Fund,6319.596,6319.596,2015-16,actual-budgetary,budget-fy2018-19-book,125,,fy2018-19
445 Capital Asset Renewal Fund,,3247.782,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
445 Capital Asset Renewal Fund,3567.092,3567.092,2015-16,actual-budgetary,budget-fy2018-19-book,127,,fy2018-19
450 GO Bonds Fund,358462.844,358462.844,2015-16,actual-budgetary,budget-fy2018-19-book,128,,fy2018-19
450 GO Bonds,,360899.025,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
470 Partnership Funds,,12003.406,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
470 Partnership Funds,3982.973,3982.973,2015-16,actual-budgetary,budget-fy2018-19-book,131,,fy2018-19
601 Self Insurance Fund,,7174.642,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
601 Self Insurance Fund,7032.331,7032.331,2015-16,actual-budgetary,budget-fy2018-19-book,132,,fy2018-19
All Funds Total,1211781,1211781,2015-16,actual-budgetary,budget-fy2019-20-book,73,"native unit thousands of dollars; 2018-19 column headed 'Budget' (current-year budget, treated as revised); resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
Cafeteria Fund (202),24508,24508,2015-16,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Capital Asset Renewal Fund (445),3567,3567,2015-16,actual-budgetary,budget-fy2019-20-book,151,,fy2019-20
Capital Projects Funds (400),398189,398189,2015-16,actual-budgetary,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Construction Excise Fund (404),18917,18917,2015-16,actual-budgetary,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Debt Service Funds (300),96333,96333,2015-16,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Dedicated Resource Fund (299),15097,15097,2015-16,actual-budgetary,budget-fy2019-20-book,112,,fy2019-20
Energy Efficient Schools Fund (435),1597,1597,2015-16,actual-budgetary,budget-fy2019-20-book,146,,fy2019-20
Facilities Capital Fund (438),6320,6320,2015-16,actual-budgetary,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Full Faith and Credit Debt Service Fund (320),1286,1286,2015-16,actual-budgetary,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Fund (420),55,55,2015-16,actual-budgetary,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
General Fund (100),583732,583732,2015-16,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
GO Bonds Debt Service Fund (350),50021,50021,2015-16,actual-budgetary,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Fund (450),358463,358463,2015-16,actual-budgetary,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
Grants Fund (205),58568,58568,2015-16,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Internal Service Funds (600),7032,7032,2015-16,actual-budgetary,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
IT Projects Debt Service Fund (307),2708,2708,2015-16,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT System Project Fund (407),5287,5287,2015-16,actual-budgetary,budget-fy2019-20-book,141,,fy2019-20
Partnership Funds (470),3983,3983,2015-16,actual-budgetary,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
PERS Rate Stabilization Reserve Fund (225),16396,16396,2015-16,actual-budgetary,budget-fy2019-20-book,110,,fy2019-20
PERS UAL Debt Service Fund (308),42318,42318,2015-16,actual-budgetary,budget-fy2019-20-book,128,,fy2019-20
Self Insurance Fund (601),7032,7032,2015-16,actual-budgetary,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Special Revenue Funds (200),126496,126496,2015-16,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Student Body Activity Fund (201),11926,11926,2015-16,actual-budgetary,budget-fy2019-20-book,98,,fy2019-20
Total District Budget (all funds),1211781.113,1211781.113,2015-16,actual-budgetary,budget-fy2018-19-book,70,district total from Requirements by Major Program (All Funds) table,fy2018-19
Total District Budget by Fund,,1227150.363,2015-16,revised,budget-fy2016-17-book,66,,fy2016-17
100 - General Fund,600301,600301,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,"native unit thousands; leaf funds only (fund-group subtotals omitted); per Oregon budget law resources = requirements per fund, both printed identically on each fund's detail pages; GF summary p.117 (resources) / p.118 (requirements)",fy2020-21
101 General Fund,,591888.109,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
101 General Fund,,592043.109,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
101 General Fund,,592600.18,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
101 General Fund,,604905.161,2016-17,revised,budget-fy2017-18-book,65,native unit whole dollars; table prints requirements only - resources_k left empty (per-fund resources appear only in Fund Detail pages); 2016/17 column headed 'Current',fy2017-18
101 General Fund,600300.820,600300.820,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
201 - Student Body Activity Fund,11585,11585,2016-17,actual-budgetary,budget-fy2020-21-vol1,134,,fy2020-21
201 Student Body Activity Fund,,12521.725,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
