bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes,fragment
2012 (26-144),Total authorization,482000,,482000,2020-09,tscc-measure-26-215-review,2,"$482M authorized Nov 2012 (66.2% yes); fully issued per issuance table p.2 (2013A 76,265 + 2013B 68,575 + 2015A 30,300 + 2015B 244,700 + 2017B 62,160); tscc-review-fy2026 p.11: all planned work complete, minor funds remain",tscc
2012 GO ($482M),Faubion PreK-8 Replacement,,6990.211,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012 GO ($482M),Franklin High School Full Modernization,,20760.733,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,"CAUTION: current_estimate_k holds the FY2017/18 ANNUAL project budget from 'Fund 450 GO Bonds by Major Project' - the book prints no lifetime original budget, current estimate, or spent-to-date by project; bond attribution inferred from budget narrative (PDF pp137,142): 2012-authorization projects vs May 2017 $790M bond design-phase projects; native unit whole dollars",fy2017-18
2012 GO ($482M),Grant High School Full Modernization,,103048.477,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012 GO ($482M),Roosevelt High School Full Modernization,,14660.691,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012 GO ($482M),Summer Improvement Project 2016 (IP16),,613.541,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012 GO ($482M),Summer Improvement Project 2017 (IP17),,1041.812,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget,fy2017-18
2012 GO (2013 & 2015 issuances),Budgetary Contingency,,52628.301,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Faubion PreK-8 Replacement,,25302.38,,FY2016-17 adopted,budget-fy2016-17-book,146,"native unit whole dollars; amounts are the FY2016/17 budget-year appropriation by major project (Fund 450), NOT original/life-of-project budgets, which this book does not print",fy2016-17
2012 GO (2013 & 2015 issuances),Franklin High School Full Modernization,,77048.547,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Grant High School Full Modernization,,31403.523,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Master Planning - Benson HS,,298.916,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Master Planning - Lincoln HS,,234.763,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Master Planning - Madison HS,,270.02,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Roosevelt High School Full Modernization,,68108.682,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Subtotal Project Budget,,218018.913,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Summer Improvement Project 2016 (IP 16),,12462.83,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Summer Improvement Project 2017 (IP 17),,2889.252,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012 GO (2013 & 2015 issuances),Total Requirements,,270647.214,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate",fy2016-17
2012,2012 Bond Program (mgmt/reserves),93100,60500,13700,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,,bonds
2012,2012 Bond Program (mgmt/reserves),93100,63800,8500,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,,bonds
2012,2012 Bond Program (mgmt/reserves),93181.361,94527.463,3372.586,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,staffing+admin+reserves+contingencies+escalation,bonds
2012,2012 Bond Program (mgmt/reserves),93200,39100,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,37,current budget 49900; admin+mgmt cost growth 30700->38400 +25% over 4 yrs (p35),bonds
2012,2012 Bond Program (program admin),93181.361,33260.855,30868.453,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 137,571; master planning and ed-spec lines omitted (each under 400k)",fy2021-22
2012,2012 Bond Program (program costs),93181,42183,24546,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 6,496,745",fy2019-20
2012,2012 Bond Program (program-level),93181,38967,26195,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2012,2012 Bond Program Cost,84500,42000,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,14,orig incl 45000 contingency later tracked inside projects; 42000 = program-wide expenses only,bonds
2012,2012 BOND PROGRAM TOTAL,482000,,,2012-11,tscc-measure-26-259-review,7,Nov 2012; 66% yes (bond history recap),bonds
2012,2012 BOND PROGRAM TOTAL,482000,499107.896,63293.996,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,FINDING: Nov 2013 BOE resolution raised HS capacity 1500->1700 and HS modernization budget 247000->257000 funded from 20000 BOE program contingency (p31),bonds
2012,2012 BOND PROGRAM TOTAL,482000,522900,95600,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,budget grew ~10% in two years (p14); 13800 bond premium reserves allocated to escalation needs (p9),bonds
2012,2012 BOND PROGRAM TOTAL,482000,547000,,2017-03,bond-audit-bond-construction-program-audit-4-of-4,34,FINDING: program AT RISK of completing over budget; OSM est final costs 547000 EXCLUDING significant additional GHS need (p33-34); resources grew 499100 (2014)->500600 (2015)->550500 (2016)->557300 (2017) via premiums 47100 + Concordia 15500 + grants (Fig 8 p33),bonds
2012,2012 BOND PROGRAM TOTAL,482000,550500,151800,2016-03,bond-audit-bond-construction-program-audit-3-of-4,13,FINDING: FHS to complete substantially over budget (p8); 28% of budget invoiced,bonds
