go_outstanding_k,pob_outstanding_k,debt_service_k,fy,basis,doc_id,page,notes,fragment
0,443571,10125,2011,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 8082 + interest 2043 (Sch 4 p121); GO bonds none outstanding (printed dash); FFC 48095; small scale energy loan 676; recovery zone 11000,acfr-statistical
0,431638,82571,2012,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 56963 + interest 25608 (Sch 4 p121); GO bonds none outstanding (printed dash); FFC 45877; SSEL 325; recovery zone 10190,acfr-statistical
144840,,,2013,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only; net GO 158187,acfr-statistical
144840,419034,88761,2013,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 62443 + interest 26318 (Sch 4 p121); net GO 158187; FFC 14768; SSEL 179; recovery zone 9356; other debt 471,acfr-statistical
108890,,,2014,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only; net GO 118738,acfr-statistical
108890,407500,86421,2014,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 51500 + interest 34921 (Sch 4 p121); net GO 118738; FFC 12261; recovery zone 8496,acfr-statistical
343575,,,2015,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only (Sch 10 general bonded debt table extends to 2013); net GO 382186; other-debt columns not shown for pre-2016 in this doc,acfr-statistical
343575,395958,88844,2015,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 55033 + interest 33811 (Sch 4 p122); net GO 382186; FFC 9970; recovery zone 7611,acfr-statistical
311720,384074,93630,2016,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 47020 + interest 46610 (Sch 4 p122); net GO 346748; FFC 7601; recovery zone 6698,acfr-statistical
311720,384074,93630,2016,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 47020 + interest 46610 (Sch 4 p129); net GO 346748; FFC 7601; recovery zone 6698,acfr-statistical
,384074.567,97171.667,2016-17,adopted,budget-fy2016-17-book,84,"pob_outstanding_k = 'Limited Tax Pension & Refunding' principal total (pension obligation + refunding bonds combined; no separate POB-only figure printed); GO principal printed only by issue: 2013 GO 67020.0K, 2015 GO 244700.0K; other principal: IT Project Debt Bond 7601.0K, 2010 Recovery Zone 6698.594K, 2017 QZAB 5500.010K; all-issues principal total 715594.171K; debt_service_k = FY2016/17 payments by debt service fund (funds 307/308/320/338/350)",fy2016-17
276870,372250,96932,2017,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 50065 + interest 46867 (Sch 4 p122); net GO 309076; FFC 10200; recovery zone 5757; QZAB 4000,acfr-statistical
276870,372250,96932,2017,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 50065 + interest 46867 (Sch 4 p129); net GO 309076; FFC 10200; recovery zone 5757; QZAB 4000,acfr-statistical
1129029.000,372248.994,167680.832,2017-18,adopted,budget-fy2017-18-book,83,"go_outstanding_k = sum of printed principal totals for 2013 GO ($65,315,000) + 2015 GO ($211,555,000) + 2017 GO ($852,159,000) incl. May 2017 $790M authorization issuance; pob = 'LTD Tax Pension & Refunding' principal total; all-obligation principal total printed $1,521,236,067 (also IT $5,152,000, 2010 Recovery $5,758,073, 2018 QZAB $4,000,000, FF&C Taxable 2016 $5,048,000); debt_service_k = total FY2017/18 P&I payments by debt service fund; native unit whole dollars",fy2017-18
593880,360172,167472,2018,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 109874 + interest 57598 (Sch 4 p122); net GO 633588; FFC 7402; recovery zone 4789; QZAB 3800,acfr-statistical
593880,360172,167472,2018,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 109874 + interest 57598 (Sch 4 p129); net GO 633588; FFC 7402; recovery zone 4789; QZAB 3800,acfr-statistical
593880.000,360172.086,173841.639,2018-19,adopted,budget-fy2018-19-book,78,"native unit whole dollars; go_outstanding_k = sum of printed principal totals for 2013 GO ($63,425,000) + 2015 GO ($193,595,000) + 2017 GO ($336,860,000) bonds from the Long Term Debt schedule; excludes IT GO 2009 ($2,619,000), 2010 Recovery Zone ($4,788,885), 2016 QZAB ($3,800,000), FF&C Taxable 2016 ($4,783,000); pob = 'LTD Tax Pension & Refunding' principal total; debt_service_k = printed FY2018/19 payments by debt service fund total $173,841,639",fy2018-19
495390,348222,173841,2019,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 114537 + interest 59304 (Sch 4 p122); net GO 526062; FFC 4503; recovery zone 3790; QZAB 3600,acfr-statistical
495390,348222,173841,2019,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 114537 + interest 59304 (Sch 4 p129); net GO 526062; FFC 4503; recovery zone 3790; QZAB 3600,acfr-statistical
495390,348223,177734,2019-20,adopted,budget-fy2019-20-book,181,"outstanding balances as of June 30 2019 (Bonded and Other Debt table, thousands); Full Faith & Credit obligations of 11,893 outstanding excluded from go/pob columns (total all debt 855,506); debt_service_k = 2019-20 principal 117,984 + interest 59,750 as printed, matching 5100/5400 program adopted 177,734 on p74",fy2019-20
832405,336062,177734,2020,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 117984 + interest 59750 (Sch 4 p122); net GO 924888; FFC 4213; recovery zone 2761; QZAB 3400,acfr-statistical
832405,336062,177734,2020,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 117984 + interest 59750 (Sch 4 p129); net GO 924888; FFC 4213; recovery zone 2761; QZAB 3400,acfr-statistical
,,190588,2020-21,actual-budgetary,tscc-review-fy2024,19,"PPS; GO fund only; 2020-21 includes refunding activity (fund also shows 55,596 debt proceeds that year)",tscc
832405,336062,191444,2020-21,adopted,budget-fy2020-21-vol1,244,"outstanding balances @ 6/30/2020 from Bonded and Other Debt table (native unit thousands); Full Faith & Credit obligations additionally 10,374K; total long-term principal 1,178,841K (p.245); debt_service_k = 5100 Debt Service & 5400 PERS UAL programs, adopted, from All Funds requirements by major function p.109",fy2020-21
1105125,314159,191775,2021,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 119759 + interest 72016 (Sch 4 p129); net GO 1220405; FFC 3918; recovery zone 1700; QZAB 3200,acfr-statistical
,,140826,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,PPS; GO fund only; annual report PPS Budget Summary,tscc
,,140826,2021-22,actual-budgetary,tscc-review-fy2024,19,PPS; GO fund only,tscc
