fy,compression_loss_k,basis,cite,notes
2015-16,24298,actual-budgetary,budget-fy2019-20-book p176,"component rates (permanent 4.7743 + gap 0.5038 = 5.2781 combined operations rate) from p176; AV, RMV and Measure 5 adjus"
2016-17,20960,actual-budgetary,budget-fy2020-21-vol1 p238,rates from Budget's Effect on Average Homeowner p.238; AV/RMV/Measure 5 compression from Revenue Factors p.53; permanent
2016-17,20960,actual-budgetary,budget-fy2019-20-book p176,
2017-18,20401,actual-budgetary,budget-fy2021-22-vol1 p55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print r"
2017-18,20506,actual-budgetary,budget-fy2020-21-vol1 p238,
2017-18,20506,actual-budgetary,budget-fy2019-20-book p176,
2018-19,18830,actual-budgetary,budget-fy2021-22-vol1 p55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print r"
2018-19,18830,actual-budgetary,budget-fy2020-21-vol1 p238,
2018-19,18830,actual-budgetary,budget-fy2022-23-vol1 p272,rates per $1000 AV from PDF p272; av_billions/rmv_billions/compression_loss_k from Revenue Factors table PDF p34; compre
2018-19,18830,revised,budget-fy2019-20-book p176,2018-19 shown as estimate on p176
2019-20,20911,actual-budgetary,budget-fy2021-22-vol1 p55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print r"
2019-20,20911,actual-budgetary,budget-fy2020-21-vol1 p238,p.238 labels 2019-20 column Actual
2019-20,20911,actual-budgetary,budget-fy2023-24-vol1 p210,rates from PDF p210 (per $1000 AV); av_billions/rmv_billions/compression_loss_k from Revenue Factors table PDF p27; comp
2019-20,20911,actual-budgetary,budget-fy2022-23-vol1 p272,
2019-20,19772,adopted,budget-fy2019-20-book p176,"2019-20 AV/RMV/M5 marked projected on p21; adopted levy: $5.2781 operations + $1.9900 local option rates and $130,575,00"
2019-20,20911,actual-budgetary,tscc-review-fy2024 p3,"PPS; M5 loss printed -20,910,923; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (perm"
2020-21,22990,revised,budget-fy2021-22-vol1 p55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print r"
2020-21,22990,actual-budgetary,budget-fy2023-24-vol1 p210,
