fy,group,fte,basis,cite
2011,District Level Administration,22.40,actual-acfr,acfr-fy2020 p135
2011,Educational Assistants,636.00,actual-acfr,acfr-fy2020 p135
2011,Other Staff,1896.90,actual-acfr,acfr-fy2020 p135
2011,School Level Administration,140.60,actual-acfr,acfr-fy2020 p135
2011,Teachers,2440.50,actual-acfr,acfr-fy2020 p135
2011,Total FTE,5136.40,actual-acfr,acfr-fy2020 p135
2012,District Level Administration,13.00,actual-acfr,acfr-fy2020 p135
2012,Educational Assistants,555.80,actual-acfr,acfr-fy2020 p135
2012,Other Staff,1850.30,actual-acfr,acfr-fy2020 p135
2012,School Level Administration,142.90,actual-acfr,acfr-fy2020 p135
2012,Teachers,2315.00,actual-acfr,acfr-fy2020 p135
2012,Total FTE,4877.00,actual-acfr,acfr-fy2020 p135
2013,District Level Administration,14.00,actual-acfr,acfr-fy2020 p135
2013,Educational Assistants,520.90,actual-acfr,acfr-fy2020 p135
2013,Other Staff,1798.40,actual-acfr,acfr-fy2020 p135
2013,School Level Administration,144.20,actual-acfr,acfr-fy2020 p135
2013,Teachers,2353.10,actual-acfr,acfr-fy2020 p135
2013,Total FTE,4830.60,actual-acfr,acfr-fy2020 p135
2014,District Level Administration,11.00,actual-acfr,acfr-fy2020 p135
2014,Educational Assistants,509.80,actual-acfr,acfr-fy2020 p135
2014,Other Staff,1720.00,actual-acfr,acfr-fy2020 p135
2014,School Level Administration,142.30,actual-acfr,acfr-fy2020 p135
2014,Teachers,2384.00,actual-acfr,acfr-fy2020 p135
2014,Total FTE,4767.10,actual-acfr,acfr-fy2020 p135
2015,District Level Administration,17.00,actual-acfr,acfr-fy2020 p135
2015,Educational Assistants,582.10,actual-acfr,acfr-fy2020 p135
2015,Other Staff,2056.50,actual-acfr,acfr-fy2020 p135
2015,School Level Administration,155.00,actual-acfr,acfr-fy2020 p135
2015,Teachers,2606.80,actual-acfr,acfr-fy2020 p135
2015,Total FTE,5417.40,actual-acfr,acfr-fy2020 p135
2015-16,District grand total (all employee types),5793.00,actual-budgetary,budget-fy2019-20-book p185
2016,District Level Administration,22.00,actual-acfr,acfr-fy2020 p136
2016,District Level Administration,22.00,actual-acfr,acfr-fy2025 p143
2016,Educational Assistants,667.80,actual-acfr,acfr-fy2020 p136
2016,Educational Assistants,667.80,actual-acfr,acfr-fy2025 p143
2016,Other Staff,1959.40,actual-acfr,acfr-fy2020 p136
2016,Other Staff,1959.40,actual-acfr,acfr-fy2025 p143
2016,School Level Administration,151.00,actual-acfr,acfr-fy2020 p136
2016,School Level Administration,151.00,actual-acfr,acfr-fy2025 p143
2016,Teachers,2632.50,actual-acfr,acfr-fy2020 p136
2016,Teachers,2632.50,actual-acfr,acfr-fy2025 p143
2016,Total FTE,5432.70,actual-acfr,acfr-fy2020 p136
2016,Total FTE,5432.70,actual-acfr,acfr-fy2025 p143
2016-17,All Funds: TOTAL,5866.10,actual-budgetary,budget-fy2020-21-vol1 p248
2016-17,Central Support,160.22,adopted,budget-fy2016-17-book p57
2016-17,Central Support,162.17,adopted,budget-fy2016-17-book p57
2016-17,District grand total (all employee types),5866.10,actual-budgetary,budget-fy2019-20-book p185
2016-17,Enterprise and Community Services,226.40,adopted,budget-fy2016-17-book p57
