fy,gf_adopted_k,all_funds_adopted_k,gf_real_fy27_k,gf_cite,all_funds_cite
2016-17,592600,1155905,824475,budget-fy2016-17-book p66,budget-fy2016-17-book p66
2017-18,617287,1587755,840907,budget-fy2017-18-book p65,budget-fy2017-18-book p65
2018-19,655002,1506992,871012,budget-fy2018-19-book p83,budget-fy2018-19-book p62
2019-20,691767,1379456,903529,budget-fy2019-20-book p82,budget-fy2019-20-book p73
2020-21,729654,2725778,941400,budget-fy2020-21-vol1 p117,sum of 18 individual adopted fund rows (budget-fy2020-21-vol1)
2021-22,771963,2058410,951295,budget-fy2021-22-vol1 p151,budget-fy2021-22-vol1 p142
2022-23,804062,1883261,917431,budget-fy2022-23-vol1 p149,budget-fy2022-23-vol1 p140
2023-24,833774,2182057,913719,budget-fy2023-24-vol1 p98,budget-fy2023-24-vol1 p86
2024-25,854394,2393878,909492,budget-fy2024-25-vol1 p99,budget-fy2024-25-vol1 p91
2025-26,868580,2035117,900888,budget-fy2026-27-vol1 p108,budget-fy2025-26-vol1 p89
2026-27,862112,2768591,862112,budget-fy2026-27-vol1 p108,budget-fy2026-27-vol1 p91
