fy,enrollment,enrollment_kind,gf_per_student_nominal,gf_per_student_real_fy27,enrollment_cite,gf_cite
2016-17,49189,actual,12047,16761,acfr-fy2020 p140,budget-fy2016-17-book p66
2017-18,49557,actual,12456,16968,acfr-fy2020 p140,budget-fy2017-18-book p65
2018-19,49550,actual,13219,17578,acfr-fy2020 p140,budget-fy2018-19-book p83
2019-20,49478,actual,13981,18261,acfr-fy2020 p140,budget-fy2019-20-book p82
2020-21,47314,actual,15422,19897,acfr-fy2025 p146,budget-fy2020-21-vol1 p117
2021-22,45497,actual,16967,20909,acfr-fy2025 p146,budget-fy2021-22-vol1 p151
2022-23,44548,actual,18049,20594,tscc-review-fy2025 p4,budget-fy2022-23-vol1 p149
2023-24,44771,actual,18623,20409,acfr-fy2025 p146,budget-fy2023-24-vol1 p98
2024-25,44086,actual,19380,20630,acfr-fy2025 p146,budget-fy2024-25-vol1 p99
2025-26,42304,forecast,20532,21296,tscc-review-fy2025 p4,budget-fy2026-27-vol1 p108
2026-27,41341,forecast,20854,20854,tscc-review-fy2025 p4,budget-fy2026-27-vol1 p108
