enrollment,admr,admw,fy,basis,doc_id,page,notes,fragment
46803,,52949,2011,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
47288,,53250,2012,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
47523,,53693,2013,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
48098,,54281,2014,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
48459,,54986,2015,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,47844,57491,2015-16,actual-budgetary,budget-fy2019-20-book,21,"Revenue Factors table; October enrollment headcount not printed as a table (chart only, p195, p29)",fy2019-20
49075,,,2015-16,actual-budgetary,budget-fy2016-17-book,21,October 2015 official enrollment count printed in the FY2016/17 adopted budget; ADMr/ADMw not printed numerically in this book; budget narrative forecasts +650 students for 2016/17 (p64),fy2016-17
49075,,57491,2016,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
49075,,57491,2016,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,48295,57776,2016-17,actual-budgetary,budget-fy2019-20-book,21,,fy2019-20
,48295,57776,2016-17,actual-budgetary,budget-fy2020-21-vol1,53,Revenue Factors table p.53; enrollment (October headcount) not printed in text layer - district enrollment history appears only as a chart p.258,fy2020-21
49189,,,2016-17,actual-budgetary,budget-fy2017-18-book,19,October 2016 student enrollment headcount (all programs incl. 1585 charter); ADMr/ADMw are not printed anywhere in this book,fy2017-18
49189,,57876,2017,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
49189,,57876,2017,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,48371,57778,2017-18,actual-budgetary,budget-fy2019-20-book,21,,fy2019-20
,48371,57778,2017-18,actual-budgetary,budget-fy2020-21-vol1,53,,fy2020-21
,48371,57778,2017-18,actual-budgetary,budget-fy2021-22-vol1,55,headcount enrollment not printed in a text table (history/projection appears only as chart images); ADMr/ADMw from Revenue Factors table,fy2021-22
46048,,,2017-18,adopted,budget-fy2017-18-book,54,"Gr K-12 'Total Student Count for Staffing' used in the 2017/18 GF school staffing formula - a staffing count, not total district enrollment",fy2017-18
49557,,,2017-18,actual-budgetary,budget-fy2018-19-book,15,total enrollment as of October 2017,fy2018-19
49557,,57779,2018,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
49557,,57779,2018,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,48439,57616,2018-19,actual-budgetary,budget-fy2022-23-vol1,34,"Revenue Factors table; October headcount enrollment printed only as chart image (no text value), left blank; p29 narrative says approximately 45000 students; ADMw Extended 57616",fy2022-23
,48439,57823,2018-19,actual-budgetary,budget-fy2021-22-vol1,55,,fy2021-22
,48480,57762,2018-19,actual-budgetary,budget-fy2020-21-vol1,53,,fy2020-21
,48481,57627,2018-19,revised,budget-fy2019-20-book,21,latest estimate from ODE website / TSCC per p21 footnote,fy2019-20
49925,,,2018-19,adopted,budget-fy2018-19-book,15,"projected enrollment for 2018/19 (+368, +0.7% per p.19); book prints no ADMr or ADMw figures",fy2018-19
49550,,57823,2019,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)",acfr-statistical
49550,,57823,2019,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,48240,57624,2019-20,actual-budgetary,budget-fy2021-22-vol1,55,,fy2021-22
,48338,57825,2019-20,actual-budgetary,budget-fy2022-23-vol1,34,ADMw Extended 57825,fy2022-23
,48338,57825,2019-20,actual-budgetary,budget-fy2023-24-vol1,27,"Revenue Factors table; October headcount enrollment printed only as chart image (no text value), left blank; ADMw Extended 57825",fy2023-24
,48458,57631,2019-20,revised,budget-fy2020-21-vol1,53,flagged ** latest estimate from ODE/TSCC,fy2020-21
,48608,57762,2019-20,adopted,budget-fy2019-20-book,21,"latest estimate per p21 footnote; ADMw 57,762 also cited as budget assumption on p20",fy2019-20
48653,,,2019-20,actual-budgetary,tscc-review-fy2024,4,"PPS; enrollment chart, Actual; 2020-21 printed 46,937 (CONFLICT: 46,649 in FY25/FY26 review charts); 2021-22 printed 45,005 (vs 44,747/44,861 in later editions)",tscc
48653,,,2019-20,actual-budgetary,tscc-review-fy2025,4,"PPS; enrollment chart, Actual; NOTE this edition's chart values match ADMr elsewhere (44,747~ADMr 44,748; 43,514/43,302 = ADMr in FY26 review) while FY26 review chart plots a different series",tscc
48653,,,2019-20,actual-budgetary,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Actual'; series definition unlabeled (values differ from ADMr and from the same chart in earlier reviews)",tscc
49478,,57624,2020,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary; restated to 57825 in acfr-fy2025",acfr-statistical
49478,,57825,2020,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw restated from 57624 (preliminary in acfr-fy2020) to 57825",acfr-statistical
,46649,55688,2020-21,actual-budgetary,budget-fy2023-24-vol1,27,ADMw Extended 57825,fy2023-24
,46649,55688,2020-21,actual-budgetary,budget-fy2024-25-vol1,27,"Revenue Factors table; ADMw is the Weighted Enrollment - ADMw row; ADMw Extended for 2020-21 printed as 57825; October headcounts appear only in a chart image (p41/p237) with no text layer - narrative says ~45000 students incl pre-K and ~44000 excl pre-K (p22)",fy2024-25
,46649,55904,2020-21,actual-budgetary,budget-fy2022-23-vol1,34,ADMw Extended 57825,fy2022-23
,48338,57574,2020-21,revised,budget-fy2021-22-vol1,55,,fy2021-22
,48570,57600,2020-21,adopted,budget-fy2020-21-vol1,53,"flagged ** latest estimate; MESD service plan p.232 (as of 4/17/2020) prints CTA ADMr 48,570.00 and ODE Extended ADMw 57,556.88",fy2020-21
44186,,,2020-21,actual-budgetary,cbrc-2021-22-cbrc-local-option-review,3,"FY20-21 Audited Enrollment, All PPS row of the 2020-21 GF Local Option Levy Staffing By School table; the assigned PSU enrollment-forecast files (psu-forecast-2024/2022/2012) are ABSENT from the corpus, so no historical series or forecast:<vintage> rows could be extracted",ode-enrollment
46649,,,2020-21,actual-budgetary,tscc-review-fy2025,4,"PPS; enrollment chart, Actual",tscc
46649,,,2020-21,actual-budgetary,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Actual'",tscc
46937,,,2020-21,actual-budgetary,tscc-review-fy2024,4,"PPS; enrollment chart, Actual",tscc
47314,,57825,2021,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation",acfr-statistical
,1033,1210,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,102,district: Corbett SD 39; latest May estimates from ODE per table footnote,tscc
,11286,13608,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,95,district: Gresham-Barlow SD 10J; latest May estimates from ODE per table footnote; ADMr/ADMw rows print on p.95 (table spans p.94-95),tscc
,2728,3445,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3; latest May estimates from ODE per table footnote,tscc
,44747,53398,2021-22,actual-budgetary,budget-fy2023-24-vol1,27,ADMw Extended 55688,fy2023-24
,44747,53500,2021-22,actual-budgetary,budget-fy2024-25-vol1,27,"ADMw Extended 55688",fy2024-25
,44747,53500,2021-22,actual-budgetary,budget-fy2025-26-vol1,27,"Revenue Factors table; enrollment (headcount) not printed in text layer (chart is image-only), left blank; ADMw Extended 55688",fy2025-26
,44748,53500,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
,44748,53500,2021-22,actual-budgetary,tscc-measure-26-259-review,3,PPS; chart reproduced from FY24-25 TSCC Annual Report,tscc
,44748,53500,2021-22,actual-budgetary,tscc-review-fy2026,4,PPS; General Information table (spans p.3-4); ADMr/ADMw = latest May estimates from ODE,tscc
,45354,54241,2021-22,actual-budgetary,budget-fy2022-23-vol1,34,ADMw Extended 55904; MESD plan p265 prints ODE Extended ADMw 57311.39 / CTA ADMr 48056.00 as of 2/28/2022 (different measure),fy2022-23
,48056,57311,2021-22,adopted,budget-fy2021-22-vol1,55,"flagged as latest estimates from ODE website and 19/20 TSCC information; MESD service plan sheet p.274 prints ODE Extended ADMw 57,311.39 and CTA ADMr 48,056.00 as of 4/15/2021; budget assumption p.54 projects ADMw 57,300",fy2021-22
,538,680,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,111,district: Riverdale SD 51J; latest May estimates from ODE per table footnote,tscc
,5480,6945,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,98,district: Centennial SD 28J; latest May estimates from ODE per table footnote; ADMw labeled 'Weighted Enrollment Extended-ADMw',tscc
,8697,11045,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,106,district: David Douglas SD 40; latest May estimates from ODE per table footnote,tscc
,9674,12739,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7; latest May estimates from ODE per table footnote,tscc
44747,,,2021-22,actual-budgetary,tscc-review-fy2025,4,"PPS; enrollment chart, Actual",tscc
44861,,,2021-22,actual-budgetary,tscc-review-fy2026,4,"PPS; Portland Public Schools Enrollment chart, chart 'Actual'",tscc
