go_outstanding_k,pob_outstanding_k,debt_service_k,fy,basis,doc_id,page,notes
1167405,510330,261382,2025,actual-acfr,acfr-fy2025,136,native unit thousands; go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 195347 + interest 66035 (Sch 4 p128); net GO outstanding incl premium less amts available 1298946; FFC 2638; QZAB 2400; leases+subscriptions 2164
1212240,578650,253165,2024,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 176254 + interest 76911 (Sch 4 p128); net GO 1346486; FFC 2973; QZAB 2600; leases+subscriptions 3373
1323490,640890,227925,2023,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 148555 + interest 79370 (Sch 4 p128); net GO 1464030; FFC 3298; QZAB 2800; leases+subscriptions 2585
1011460,679186,220566,2022,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 129626 + interest 90940 (Sch 4 p128); net GO 1117665; FFC 3613; recovery zone 607; QZAB 3000; POB jump reflects Oct 2021 399390k pension bond issuance
1105125,314159,191775,2021,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 119759 + interest 72016 (Sch 4 p129); net GO 1220405; FFC 3918; recovery zone 1700; QZAB 3200
832405,336062,177734,2020,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 117984 + interest 59750 (Sch 4 p129); net GO 924888; FFC 4213; recovery zone 2761; QZAB 3400
495390,348222,173841,2019,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 114537 + interest 59304 (Sch 4 p129); net GO 526062; FFC 4503; recovery zone 3790; QZAB 3600
593880,360172,167472,2018,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 109874 + interest 57598 (Sch 4 p129); net GO 633588; FFC 7402; recovery zone 4789; QZAB 3800
276870,372250,96932,2017,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 50065 + interest 46867 (Sch 4 p129); net GO 309076; FFC 10200; recovery zone 5757; QZAB 4000
311720,384074,93630,2016,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 47020 + interest 46610 (Sch 4 p129); net GO 346748; FFC 7601; recovery zone 6698
343575,,,2015,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only (Sch 10 general bonded debt table extends to 2013); net GO 382186; other-debt columns not shown for pre-2016 in this doc
108890,,,2014,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only; net GO 118738
144840,,,2013,actual-acfr,acfr-fy2025,136,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt service for this year not in this doc's Sch 4 window; GO detail only; net GO 158187
0,443571,10125,2011,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 8082 + interest 2043 (Sch 4 p121); GO bonds none outstanding (printed dash); FFC 48095; small scale energy loan 676; recovery zone 11000
0,431638,82571,2012,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 56963 + interest 25608 (Sch 4 p121); GO bonds none outstanding (printed dash); FFC 45877; SSEL 325; recovery zone 10190
144840,419034,88761,2013,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 62443 + interest 26318 (Sch 4 p121); net GO 158187; FFC 14768; SSEL 179; recovery zone 9356; other debt 471
108890,407500,86421,2014,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 51500 + interest 34921 (Sch 4 p121); net GO 118738; FFC 12261; recovery zone 8496
343575,395958,88844,2015,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 55033 + interest 33811 (Sch 4 p122); net GO 382186; FFC 9970; recovery zone 7611
311720,384074,93630,2016,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 47020 + interest 46610 (Sch 4 p122); net GO 346748; FFC 7601; recovery zone 6698
276870,372250,96932,2017,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 50065 + interest 46867 (Sch 4 p122); net GO 309076; FFC 10200; recovery zone 5757; QZAB 4000
593880,360172,167472,2018,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 109874 + interest 57598 (Sch 4 p122); net GO 633588; FFC 7402; recovery zone 4789; QZAB 3800
495390,348222,173841,2019,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 114537 + interest 59304 (Sch 4 p122); net GO 526062; FFC 4503; recovery zone 3790; QZAB 3600
832405,336062,177734,2020,actual-acfr,acfr-fy2020,129,go_outstanding_k = GO bonds at par excl unamortized premium (Sch 10); pob = limited tax pension bonds; debt_service_k = principal 117984 + interest 59750 (Sch 4 p122); net GO 924888; FFC 4213; recovery zone 2761; QZAB 3400
