enrollment,admr,admw,fy,basis,doc_id,page,notes
44086,,52441,2025,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)"
44771,,52232,2024,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)"
52380,,53581,2023,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ANOMALY: printed Total All 52380 inconsistent with series (2022=45497, 2024=44771); elementary rows Irvington 2514 and Kelly 2830 appear misprinted in source, inflating totals; verify against acfr-fy2023"
45497,,55688,2022,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
47314,,57825,2021,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49478,,57825,2020,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw restated from 57624 (preliminary in acfr-fy2020) to 57825"
49550,,57823,2019,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49557,,57779,2018,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49189,,57876,2017,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49075,,57491,2016,actual-acfr,acfr-fy2025,146,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
46803,,52949,2011,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
47288,,53250,2012,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
47523,,53693,2013,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
48098,,54281,2014,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
48459,,54986,2015,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49075,,57491,2016,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49189,,57876,2017,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49557,,57779,2018,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation"
49550,,57823,2019,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary (most recent two years)"
49478,,57624,2020,actual-acfr,acfr-fy2020,140,"enrollment = Total All (unduplicated October headcount incl charters/community-based/special services), Sch 17; admw = extended weighted ADM used for SSF allocation; ADMw preliminary; restated to 57825 in acfr-fy2025"
