group,fte,fy,basis,doc_id,page,notes
Teachers,2665.7,2025,actual-acfr,acfr-fy2025,142,"Sch 15; FTE (positions, not dollars); beginning FY2020 SPED staff reclassified from District Level to School Level Administration (Sch 15 note 1)"
Educational Assistants,677.4,2025,actual-acfr,acfr-fy2025,142,Sch 15
School Level Administration,167.2,2025,actual-acfr,acfr-fy2025,142,Sch 15
District Level Administration,4.0,2025,actual-acfr,acfr-fy2025,142,Sch 15
Other Staff,2607.5,2025,actual-acfr,acfr-fy2025,142,Sch 15
Total FTE,6121.8,2025,actual-acfr,acfr-fy2025,142,Sch 15
Teachers,2650.9,2024,actual-acfr,acfr-fy2025,142,Sch 15
Educational Assistants,693.0,2024,actual-acfr,acfr-fy2025,142,Sch 15
School Level Administration,169.5,2024,actual-acfr,acfr-fy2025,142,Sch 15
District Level Administration,4.0,2024,actual-acfr,acfr-fy2025,142,Sch 15
Other Staff,2628.4,2024,actual-acfr,acfr-fy2025,142,Sch 15
Total FTE,6145.8,2024,actual-acfr,acfr-fy2025,142,Sch 15
Teachers,2685.6,2023,actual-acfr,acfr-fy2025,142,Sch 15
Educational Assistants,675.9,2023,actual-acfr,acfr-fy2025,142,Sch 15
School Level Administration,179.0,2023,actual-acfr,acfr-fy2025,142,Sch 15
District Level Administration,4.0,2023,actual-acfr,acfr-fy2025,142,Sch 15
Other Staff,2595.8,2023,actual-acfr,acfr-fy2025,142,Sch 15
Total FTE,6140.3,2023,actual-acfr,acfr-fy2025,142,Sch 15
Teachers,2720.8,2022,actual-acfr,acfr-fy2025,142,Sch 15
Educational Assistants,647.5,2022,actual-acfr,acfr-fy2025,142,Sch 15
School Level Administration,184.5,2022,actual-acfr,acfr-fy2025,142,Sch 15
District Level Administration,7.0,2022,actual-acfr,acfr-fy2025,142,Sch 15
Other Staff,2383.0,2022,actual-acfr,acfr-fy2025,142,Sch 15
Total FTE,5942.8,2022,actual-acfr,acfr-fy2025,142,Sch 15
Teachers,2749.2,2021,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,640.1,2021,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,174.5,2021,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,4.0,2021,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,2330.2,2021,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5898.0,2021,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2709.3,2020,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,688.5,2020,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,172.5,2020,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,4.0,2020,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,2234.4,2020,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5808.7,2020,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2697.3,2019,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,647.1,2019,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,165.5,2019,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,16.0,2019,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,2048.1,2019,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5574.0,2019,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2684.2,2018,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,680.8,2018,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,167.3,2018,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,19.2,2018,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,2275.2,2018,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5826.7,2018,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2737.7,2017,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,674.3,2017,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,166.5,2017,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,21.0,2017,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,2123.1,2017,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5722.6,2017,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2632.5,2016,actual-acfr,acfr-fy2025,143,Sch 15
Educational Assistants,667.8,2016,actual-acfr,acfr-fy2025,143,Sch 15
School Level Administration,151.0,2016,actual-acfr,acfr-fy2025,143,Sch 15
District Level Administration,22.0,2016,actual-acfr,acfr-fy2025,143,Sch 15
Other Staff,1959.4,2016,actual-acfr,acfr-fy2025,143,Sch 15
Total FTE,5432.7,2016,actual-acfr,acfr-fy2025,143,Sch 15
Teachers,2440.5,2011,actual-acfr,acfr-fy2020,135,Sch 15
Educational Assistants,636.0,2011,actual-acfr,acfr-fy2020,135,Sch 15
School Level Administration,140.6,2011,actual-acfr,acfr-fy2020,135,Sch 15
District Level Administration,22.4,2011,actual-acfr,acfr-fy2020,135,Sch 15
Other Staff,1896.9,2011,actual-acfr,acfr-fy2020,135,Sch 15
Total FTE,5136.4,2011,actual-acfr,acfr-fy2020,135,Sch 15
Teachers,2315.0,2012,actual-acfr,acfr-fy2020,135,Sch 15
Educational Assistants,555.8,2012,actual-acfr,acfr-fy2020,135,Sch 15
School Level Administration,142.9,2012,actual-acfr,acfr-fy2020,135,Sch 15
District Level Administration,13.0,2012,actual-acfr,acfr-fy2020,135,Sch 15
Other Staff,1850.3,2012,actual-acfr,acfr-fy2020,135,Sch 15
Total FTE,4877.0,2012,actual-acfr,acfr-fy2020,135,Sch 15
Teachers,2353.1,2013,actual-acfr,acfr-fy2020,135,Sch 15
Educational Assistants,520.9,2013,actual-acfr,acfr-fy2020,135,Sch 15
School Level Administration,144.2,2013,actual-acfr,acfr-fy2020,135,Sch 15
District Level Administration,14.0,2013,actual-acfr,acfr-fy2020,135,Sch 15
Other Staff,1798.4,2013,actual-acfr,acfr-fy2020,135,Sch 15
Total FTE,4830.6,2013,actual-acfr,acfr-fy2020,135,Sch 15
Teachers,2384.0,2014,actual-acfr,acfr-fy2020,135,Sch 15
Educational Assistants,509.8,2014,actual-acfr,acfr-fy2020,135,Sch 15
School Level Administration,142.3,2014,actual-acfr,acfr-fy2020,135,Sch 15
