source,amount_k,fy,basis,doc_id,page,notes
Property and other taxes,518615,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only; native unit thousands"
State School Fund,268519,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,6605,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,168941,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,105580,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,15533,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,88741,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,6775,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,42686,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,16975,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,1238970,2025,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,508659,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,274366,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,6415,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,191530,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,108408,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,9401,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,87278,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Extracurricular activities,6308,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Investment earnings,55912,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Other,20810,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Total revenues,1269087,2024,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Property and other taxes,468529,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State School Fund,265672,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
State Common School Fund,6362,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Federal and state support,204165,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Local option taxes,110472,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
County and intermediate sources,11067,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
Charges for services,85530,2023,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only"
