imposed_k,collected_k,positions_funded,fy,basis,doc_id,page,notes
642950,609415,,2025,actual-acfr,acfr-fy2025,135,native unit thousands; Sch 9; collected_k = collected within fiscal year of levy (94.78% of levy); subsequent-year collections 0k; total to date 609415k
635997,603722,,2024,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (94.93% of levy); subsequent-year collections 4098k; total to date 607820k
592538,565245,,2023,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.39% of levy); subsequent-year collections 5443k; total to date 570688k
567384,544882,,2022,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (96.03% of levy); subsequent-year collections 6293k; total to date 551175k
536371,512270,,2021,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.51% of levy); subsequent-year collections 7945k; total to date 520215k
514918,490715,,2020,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.30% of levy); subsequent-year collections 8968k; total to date 499683k
495645,474602,,2019,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.75% of levy); subsequent-year collections 7909k; total to date 482511k
476797,451059,,2018,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (94.60% of levy); subsequent-year collections 7954k; total to date 459013k
386715,368085,,2017,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.18% of levy); subsequent-year collections 6635k; total to date 374720k
368590,350212,,2016,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.01% of levy); subsequent-year collections 7015k; total to date 357227k
239467,225418,,2011,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.13% of levy); subsequent-year collections 7864k; total to date 233282k
261004,244408,,2012,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (93.64% of levy); subsequent-year collections 7959k; total to date 252367k
263395,248807,,2013,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.46% of levy); subsequent-year collections 7584k; total to date 256391k
321693,304458,,2014,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.64% of levy); subsequent-year collections 8415k; total to date 312873k
341388,323906,,2015,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.88% of levy); subsequent-year collections 8198k; total to date 332104k
368590,350212,,2016,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.01% of levy); subsequent-year collections 6860k; total to date 357072k
386715,368085,,2017,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.18% of levy); subsequent-year collections 5870k; total to date 373955k
476797,451059,,2018,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.60% of levy); subsequent-year collections 5828k; total to date 456887k
495645,474602,,2019,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.75% of levy); subsequent-year collections 4327k; total to date 478929k
514918,490715,,2020,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.30% of levy); subsequent-year collections 0k; total to date 490715k
