contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes
,44323,2025,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 712, assigned 43611; Sch 3; native unit thousands"
,86078,2024,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 666, assigned 85412"
,105497,2023,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 886, assigned 94984, unassigned 9627"
,98804,2022,actual-acfr,acfr-fy2025,126,"GF classifications: nonspendable 2589, assigned 96215"
,88691,2021,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 945, assigned 87746"
,64474,2020,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 511, assigned 63963"
,39887,2019,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 570, assigned 39317"
,38282,2018,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 343, assigned 37939"
,20104,2017,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 360, assigned 19744"
,37835,2016,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 386, assigned 37449"
,31541,2011,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 795, committed 1289, unassigned 29457; Sch 3; native unit thousands"
,30925,2012,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 452, committed 1583, unassigned 28890"
,37457,2013,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 139, unassigned 37318"
,51674,2014,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 200, restricted 560, unassigned 50914"
,34442,2015,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 247, unassigned 34195"
,37835,2016,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 386, assigned 7200, unassigned 30249; note acfr-fy2025 reclassifies 2016 as assigned 37449 unassigned 0"
,20104,2017,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 360, assigned 7200, unassigned 12544; acfr-fy2025 shows assigned 19744 unassigned 0"
,38282,2018,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 343, assigned 37939"
,39887,2019,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 570, assigned 39317"
,64474,2020,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 511, assigned 63963"
