permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes
5.2781,,1.99,2.3338,71.0519,151.4201,,2025,actual-acfr,acfr-fy2025,132,"native unit thousands (AV); rates Sch 6 p132; total direct rate 9.6019; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; RMV 151420136k from Sch 12 p139 (header says 'Fiscal Year 2024' but debt figures match FY2025 row - source misprint); reduction+adjustments 39283k (Sch 5 p131, compression not broken out)"
5.2781,,1.99,2.3828,69.0066,,,2024,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6509; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 29979k
5.2781,,1.99,2.3,62.4936,,,2023,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.5681; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5407k
5.2781,,1.99,2.3335,59.6146,,,2022,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6016; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5011k
5.2781,,1.99,2.4017,56.0455,,,2021,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6698; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 5578k
5.2781,,1.99,2.4053,53.7032,,,2020,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6734; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 4575k; Sch 10 p137 prints net AV 53703299 for 2020 - 90k discrepancy vs Sch 5 p131
5.2781,,1.99,2.489,51.1125,,,2019,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.7571; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 3065k
5.2781,,1.99,2.4182,49.7056,,,2018,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 9.6863; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 4666k
5.2781,,1.99,1.0623,47.3449,,,2017,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 8.3304; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 7687k
5.2781,,1.99,1.0951,45.5757,,,2016,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 8.3632; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 12569k
5.2781,,1.25,0.0,38.1209,,,2011,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 6.5281; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; local option 1.2500 this year only; GO bond rate printed as dash (zero); reduction+adjustments 9390k
5.2781,,1.99,0.0,39.2201,,,2012,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 7.2681; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; GO bond rate printed as dash (zero); Sch 5 p124 prints total direct rate as '7' (truncated misprint; Sch 6 p125 shows 7.2681); reduction+adjustments 24051k
5.2781,,1.99,0.0,40.3419,,,2013,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 7.2681; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; GO bond rate printed as dash (zero); reduction+adjustments 29814k
5.2781,,1.99,1.089,41.7469,,,2014,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3571; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 27190k
5.2781,,1.99,1.0854,43.6368,,,2015,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3535; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 23132k
5.2781,,1.99,1.0951,45.5757,,,2016,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3632; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 12569k
5.2781,,1.99,1.0623,47.3449,,,2017,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3304; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 7687k
5.2781,,1.99,2.4182,49.7056,,,2018,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.6863; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 4666k
5.2781,,1.99,2.489,51.1125,,,2019,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.7571; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 3065k
5.2781,,1.99,2.4053,53.7032,134.5754,,2020,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 9.6734; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; RMV 134575411k from Sch 12 p132; reduction+adjustments 4575k
