bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012,Franklin HS,81585.655,91163.158,629.29,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,Appendix B exact $; EAC 82046.842 (forecast 10% under); Fig 3 p17 rounds current to 91.0M
2012,Grant HS,88336.829,79107.776,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,approved budget changes -9229.053 (early re-baseline); EAC 67241.610
2012,Roosevelt HS,68418.695,82242.754,412.879,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,EAC 74026.637
2012,Faubion PK-8,27035.537,26645.88,818.758,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,EAC 24956.370
2012,Improvement Project 2013,9467.471,13062.837,11930.613,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,substantially complete; forecast 8.7% under revised budget; budget +3595.366 for seismic grant + Ockley Green science labs + COO contingency (p29)
2012,Improvement Project 2014,13620.121,15737.734,891.854,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Improvement Project 2015,13521.066,13328.042,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Improvement Project 2016,15274.437,7181.967,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Improvement Project 2017,6796.707,13227.332,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Improvement Project 2018,9062.119,7682.952,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Benson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Cleveland HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Jefferson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Lincoln HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Madison HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Master Planning - Wilson HS,191.667,161.667,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Swing Sites & Transportation,9550,6430,0,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,Marshall Swing Site,0,2500,14.167,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,FINDING: only active project forecast OVER budget; EAC 3567.550 = 42.7% over; OSM to balance from reserves/2nd swing site budget (p29-30)
2012,Educational Specifications,0,300,223.85,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,non-bond funded
2012,Debt Repayment,45000,45000,45000,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,
2012,2012 Bond Program (mgmt/reserves),93181.361,94527.463,3372.586,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,staffing+admin+reserves+contingencies+escalation
2012,2012 BOND PROGRAM TOTAL,482000,499107.896,63293.996,2014-03-01,bond-audit-bond-construction-program-audit-1-of-4,119,FINDING: Nov 2013 BOE resolution raised HS capacity 1500->1700 and HS modernization budget 247000->257000 funded from 20000 BOE program contingency (p31)
2012,Franklin HS,81600,104500,3100,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING p8-9: HS design/scope changes +41000 (18%) over original HS budgets excl Grant; 45000 escalation reserve fully allocated before all projects funded; FHS+RHS behind baseline schedule
2012,Grant HS,88300,93500,10,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
2012,Roosevelt HS,68400,92200,2700,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING p8-9: HS design/scope changes +41000 (18%) over original HS budgets excl Grant; 45000 escalation reserve fully allocated before all projects funded; FHS+RHS behind baseline schedule
2012,Faubion PK-8,27000,44700,1100,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,increase incl Concordia partnership scope
2012,Improvement Projects (9; 2013-19),67700,68900,28700,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,FINDING: 2018+2019 summer project budgets reduced to fund IP2014 bids substantially over budget; IP2014 budget 13600->18100 (p9 p25); ADA/science-lab budget moved out of IP2018 (p26)
2012,HS Master Plans (3),1200,1000,0,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,original planning budget was 1500
2012,Swing Sites & Transportation,9600,4900,0,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
2012,Marshall Swing Site,0,4000,2200,2015-03,bond-audit-bond-construction-program-audit-2-of-4,13,
