contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes
0.000,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,78,General Fund; native unit whole dollars; GF budgets no ending fund balance in 2016/17-2017/18 (contingency only)
0.000,37835.045,2015-16,actual-budgetary,budget-fy2017-18-book,78,General Fund
15645.377,0.000,2016-17,revised,budget-fy2017-18-book,78,General Fund
24918.902,0.000,2017-18,proposed,budget-fy2017-18-book,78,General Fund
23514.287,0.000,2017-18,approved,budget-fy2017-18-book,78,General Fund
23514.287,0.000,2017-18,adopted,budget-fy2017-18-book,78,General Fund
0.000,456591.738,2014-15,actual-budgetary,budget-fy2017-18-book,73,all funds; adopted contingency incl. $412.4M budgetary contingency in Fund 450 GO Bonds (unissued 2017 bond capacity)
0.000,348084.792,2015-16,actual-budgetary,budget-fy2017-18-book,73,all funds
46513.962,28627.262,2016-17,revised,budget-fy2017-18-book,73,all funds
442658.594,25791.602,2017-18,proposed,budget-fy2017-18-book,73,all funds
441253.979,25791.602,2017-18,approved,budget-fy2017-18-book,73,all funds
441253.979,25791.602,2017-18,adopted,budget-fy2017-18-book,73,all funds
