object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,197803,2015-16,actual-budgetary,budget-fy2019-20-book,84,native unit thousands; Summary of Requirements by Major Account - General Fund
111,Licensed Salaries,201301,2016-17,actual-budgetary,budget-fy2019-20-book,84,
111,Licensed Salaries,216251,2017-18,actual-budgetary,budget-fy2019-20-book,84,
111,Licensed Salaries,219440,2018-19,revised,budget-fy2019-20-book,84,
111,Licensed Salaries,229732,2019-20,proposed,budget-fy2019-20-book,84,
111,Licensed Salaries,231254,2019-20,approved,budget-fy2019-20-book,84,
111,Licensed Salaries,231254,2019-20,adopted,budget-fy2019-20-book,84,
1121,Classified - Represented,43187,2015-16,actual-budgetary,budget-fy2019-20-book,84,
1121,Classified - Represented,44205,2016-17,actual-budgetary,budget-fy2019-20-book,84,
1121,Classified - Represented,44190,2017-18,actual-budgetary,budget-fy2019-20-book,84,
1121,Classified - Represented,45260,2018-19,revised,budget-fy2019-20-book,84,
1121,Classified - Represented,52488,2019-20,proposed,budget-fy2019-20-book,84,
1121,Classified - Represented,52631,2019-20,approved,budget-fy2019-20-book,84,
1121,Classified - Represented,52631,2019-20,adopted,budget-fy2019-20-book,84,
1122,Non-Represented Staff,21309,2015-16,actual-budgetary,budget-fy2019-20-book,84,
1122,Non-Represented Staff,24348,2016-17,actual-budgetary,budget-fy2019-20-book,84,
1122,Non-Represented Staff,24439,2017-18,actual-budgetary,budget-fy2019-20-book,84,
1122,Non-Represented Staff,28445,2018-19,revised,budget-fy2019-20-book,84,
1122,Non-Represented Staff,29031,2019-20,proposed,budget-fy2019-20-book,84,
1122,Non-Represented Staff,29614,2019-20,approved,budget-fy2019-20-book,84,
1122,Non-Represented Staff,29614,2019-20,adopted,budget-fy2019-20-book,84,
113,Administrators,23068,2015-16,actual-budgetary,budget-fy2019-20-book,84,
113,Administrators,24886,2016-17,actual-budgetary,budget-fy2019-20-book,84,
113,Administrators,25257,2017-18,actual-budgetary,budget-fy2019-20-book,84,
113,Administrators,26873,2018-19,revised,budget-fy2019-20-book,84,
113,Administrators,28109,2019-20,proposed,budget-fy2019-20-book,84,
113,Administrators,28530,2019-20,approved,budget-fy2019-20-book,84,
113,Administrators,28530,2019-20,adopted,budget-fy2019-20-book,84,
100,Other Salaries,18458,2015-16,actual-budgetary,budget-fy2019-20-book,84,printed as 'OTHER SALARIES' (residual 100-object salaries)
100,Other Salaries,20038,2016-17,actual-budgetary,budget-fy2019-20-book,84,
100,Other Salaries,20453,2017-18,actual-budgetary,budget-fy2019-20-book,84,
100,Other Salaries,24069,2018-19,revised,budget-fy2019-20-book,84,
100,Other Salaries,24196,2019-20,proposed,budget-fy2019-20-book,84,
100,Other Salaries,25278,2019-20,approved,budget-fy2019-20-book,84,
100,Other Salaries,25278,2019-20,adopted,budget-fy2019-20-book,84,
200,Associated Payroll Costs,141567,2015-16,actual-budgetary,budget-fy2019-20-book,84,
200,Associated Payroll Costs,151382,2016-17,actual-budgetary,budget-fy2019-20-book,84,
200,Associated Payroll Costs,157828,2017-18,actual-budgetary,budget-fy2019-20-book,84,
200,Associated Payroll Costs,171495,2018-19,revised,budget-fy2019-20-book,84,
200,Associated Payroll Costs,183312,2019-20,proposed,budget-fy2019-20-book,84,
200,Associated Payroll Costs,185058,2019-20,approved,budget-fy2019-20-book,84,
200,Associated Payroll Costs,185058,2019-20,adopted,budget-fy2019-20-book,84,
300,Purchased Services,73905,2015-16,actual-budgetary,budget-fy2019-20-book,84,
300,Purchased Services,78639,2016-17,actual-budgetary,budget-fy2019-20-book,84,
300,Purchased Services,81918,2017-18,actual-budgetary,budget-fy2019-20-book,84,
300,Purchased Services,86464,2018-19,revised,budget-fy2019-20-book,84,
300,Purchased Services,84775,2019-20,proposed,budget-fy2019-20-book,84,
300,Purchased Services,85889,2019-20,approved,budget-fy2019-20-book,84,
300,Purchased Services,85889,2019-20,adopted,budget-fy2019-20-book,84,
400,Supplies and Materials,12902,2015-16,actual-budgetary,budget-fy2019-20-book,84,
400,Supplies and Materials,12182,2016-17,actual-budgetary,budget-fy2019-20-book,84,
400,Supplies and Materials,13042,2017-18,actual-budgetary,budget-fy2019-20-book,84,
400,Supplies and Materials,14225,2018-19,revised,budget-fy2019-20-book,84,
400,Supplies and Materials,16744,2019-20,proposed,budget-fy2019-20-book,84,
400,Supplies and Materials,17294,2019-20,approved,budget-fy2019-20-book,84,
400,Supplies and Materials,17294,2019-20,adopted,budget-fy2019-20-book,84,
500,Capital Outlay,2737,2015-16,actual-budgetary,budget-fy2019-20-book,84,
500,Capital Outlay,3565,2016-17,actual-budgetary,budget-fy2019-20-book,84,
