bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012,Franklin HS Modernization,81585.655,113022.229,112872.628,2021-03-11,budget-fy2021-22-vol1,262,"native unit whole dollars, divided by 1000; spent_k = Actuals Approved column; current_estimate_k = Current Budget (3/11/2021) column"
2012,Grant HS Modernization,88336.829,159460.317,158837.342,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 2,921,689"
2012,Roosevelt HS Modernization,68418.695,108503.379,102330.987,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 1,835,921"
2012,Faubion Replacement,27035.537,50119.665,50028.171,2021-03-11,budget-fy2021-22-vol1,262,
2012,Improvement Projects,67741.921,85863.137,85180.218,2021-03-11,budget-fy2021-22-vol1,262,
2012,Swing Sites & Transportation,9550.0,5234.879,5234.879,2021-03-11,budget-fy2021-22-vol1,262,
2012,Debt Repayment,45000.0,45000.0,45000.0,2021-03-11,budget-fy2021-22-vol1,262,
2012,2012 Bond Program (program admin),93181.361,33260.855,30868.453,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 137,571; master planning and ed-spec lines omitted (each under 400k)"
2012,2012 Bond TOTAL,482000.0,601819.444,591707.652,2021-03-11,budget-fy2021-22-vol1,262,"current incl. Additional Funding Resource If/When Needed brings current to 611,819,444"
2017,Benson HS Modernization,202000.0,67322.571,23233.541,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 102,798,671; balance of Benson completion funded under 2020 bond"
2017,Kellogg Replacement,45000.0,59846.15,53064.349,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 604,290"
2017,Lincoln HS Replacement,187000.0,242500.0,65079.843,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 88,065,179"
2017,Madison HS Modernization,146000.0,202540.25,150668.387,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 19,577,186; school renamed McDaniel HS (p.259)"
2017,Modernization subtotal (Benson/Kellogg/Lincoln/Madison),580000.0,572208.971,292046.121,2021-03-11,budget-fy2021-22-vol1,262,
2017,2017 Bond Program (program admin),210000.0,180783.633,29387.562,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 9,611,857; subtotal with pre-design/pre-bond lines: current 182,984,400, actuals 31,475,556"
