permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes
4.7743,0.5038,1.99,2.4182,,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,280,"rates per $1,000 AV; total rate extended 9.6863; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)"
4.7743,0.5038,1.99,2.489,,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.7571; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)"
4.7743,0.5038,1.99,2.4053,,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.6734; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)"
4.7743,0.5038,1.99,2.4017,,,,2020-21,actual-budgetary,budget-fy2021-22-vol1,280,"total rate extended 9.6698; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378)"
4.7743,0.5038,1.99,2.489,,,,2021-22,adopted,budget-fy2021-22-vol1,280,"total rate extended 9.7481; permanent+gap = 5.2781 statutory rate (resolution p.373, ED-50 p.378); 2021-22 column labeled Projected - actual levy rate set by county assessors; bond levy certified as $146,000,000 amount (p.373)"
,,,,49.71,121.65,20401.124,2017-18,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates"
,,,,51.11,131.74,18829.623,2018-19,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates"
,,,,53.7,134.59,20910.923,2019-20,actual-budgetary,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates"
,,,,55.6,140.25,22989.685,2020-21,revised,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates"
,,,,57.28,144.46,23000.0,2021-22,adopted,budget-fy2021-22-vol1,55,"Revenue Factors table; Measure 5 adjustment printed in whole dollars, divided by 1000; rate columns on this page print rounded (5.28 operations incl gap, 1.99 local option) - see p.280 rows for precise rates; Measure 5 adjustment flagged projected"
