fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
General Fund (100),660592,660592,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,"native unit thousands of dollars in source; 2021-22 column printed as 'Budget', recorded as adopted; requirements from PDF p150 of same doc; requirements-by-object table p151 prints 2019-20 total 709091 (rounding)"
General Fund (100),709092,709092,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
General Fund (100),744589,744589,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
General Fund (100),771963,771963,2021-22,adopted,budget-fy2022-23-vol1,149,
General Fund (100),794585,794585,2022-23,proposed,budget-fy2022-23-vol1,149,
General Fund (100),804062,804062,2022-23,approved,budget-fy2022-23-vol1,149,
General Fund (100),804062,804062,2022-23,adopted,budget-fy2022-23-vol1,149,
Student Body Activity Fund (201),11560,11560,2018-19,actual-budgetary,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),9882,9882,2019-20,actual-budgetary,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),6167,6167,2020-21,actual-budgetary,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),13000,13000,2021-22,adopted,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),12500,12500,2022-23,proposed,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),12500,12500,2022-23,approved,budget-fy2022-23-vol1,166,
Student Body Activity Fund (201),12500,12500,2022-23,adopted,budget-fy2022-23-vol1,166,
Cafeteria Fund (202),22244,22244,2018-19,actual-budgetary,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),19764,19764,2019-20,actual-budgetary,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),18433,18433,2020-21,actual-budgetary,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),16368,16368,2021-22,adopted,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),23363,23363,2022-23,proposed,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),23363,23363,2022-23,approved,budget-fy2022-23-vol1,169,
Cafeteria Fund (202),23363,23363,2022-23,adopted,budget-fy2022-23-vol1,169,
Grants Fund (205),66649,66649,2018-19,actual-budgetary,budget-fy2022-23-vol1,173,requirements from PDF p174 of same doc; includes ESSER and High School Success / Measure 98 (pre-FY2025-26 sub-fund split)
Grants Fund (205),70494,70494,2019-20,actual-budgetary,budget-fy2022-23-vol1,173,
Grants Fund (205),81194,81194,2020-21,actual-budgetary,budget-fy2022-23-vol1,173,
