group,fte,fy,basis,doc_id,page,notes
All Funds - 1000 Instruction,3479.27,2021-22,adopted,budget-fy2022-23-vol1,141,"Budget FTE columns of Summary of Requirements by Major Function - All Funds; 2021-22 column printed as 'Budget FTE', recorded as adopted"
All Funds - 1000 Instruction,3703.25,2022-23,adopted,budget-fy2022-23-vol1,141,
All Funds - 2000 Support Services,2488.88,2021-22,adopted,budget-fy2022-23-vol1,141,
All Funds - 2000 Support Services,2536.85,2022-23,adopted,budget-fy2022-23-vol1,141,
All Funds - 3000 Enterprise And Community Svcs,204.00,2021-22,adopted,budget-fy2022-23-vol1,141,
All Funds - 3000 Enterprise And Community Svcs,240.83,2022-23,adopted,budget-fy2022-23-vol1,141,
All Funds - 4000 Facilities Acquisition And Con,39.55,2021-22,adopted,budget-fy2022-23-vol1,141,
All Funds - 4000 Facilities Acquisition And Con,48.80,2022-23,adopted,budget-fy2022-23-vol1,141,
All Funds - TOTAL,6211.70,2021-22,adopted,budget-fy2022-23-vol1,141,
All Funds - TOTAL,6529.74,2022-23,adopted,budget-fy2022-23-vol1,141,
General Fund - 1000 Instruction,2966.62,2021-22,adopted,budget-fy2022-23-vol1,150,Budget FTE columns of GF requirements-by-function table
General Fund - 1000 Instruction,3035.94,2022-23,adopted,budget-fy2022-23-vol1,150,
General Fund - 2000 Support Services,2157.26,2021-22,adopted,budget-fy2022-23-vol1,150,
General Fund - 2000 Support Services,2169.42,2022-23,adopted,budget-fy2022-23-vol1,150,
General Fund - 3000 Enterprise And Community Svcs,11.88,2021-22,adopted,budget-fy2022-23-vol1,150,
General Fund - 3000 Enterprise And Community Svcs,12.88,2022-23,adopted,budget-fy2022-23-vol1,150,
General Fund - TOTAL,5135.76,2021-22,adopted,budget-fy2022-23-vol1,150,requirements-by-object table p151 prints 5135.75 (rounding)
General Fund - TOTAL,5218.24,2022-23,adopted,budget-fy2022-23-vol1,150,
District Grand Total (FTE by Major Function and Employee Type),5836.49,2018-19,actual-budgetary,budget-fy2022-23-vol1,282,FTE by Major Function and Employee Type table pp281-282; column headed '2019 Actual'
District Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2022-23-vol1,282,column headed '2020 Actual'
District Grand Total (FTE by Major Function and Employee Type),6627.38,2020-21,actual-budgetary,budget-fy2022-23-vol1,282,column headed '2021 Actual'
District Grand Total (FTE by Major Function and Employee Type),6211.70,2021-22,adopted,budget-fy2022-23-vol1,282,column headed '2022 Adopted'
District Grand Total (FTE by Major Function and Employee Type),6529.74,2022-23,proposed,budget-fy2022-23-vol1,282,column headed '2023 Proposed' but total equals adopted-budget FTE printed on p141
