source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,"native unit thousands of dollars in source; 2021-22 column printed as 'Budget', recorded as adopted"
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
Beginning Fund Balance,84845,2021-22,adopted,budget-fy2022-23-vol1,149,
Beginning Fund Balance,90500,2022-23,proposed,budget-fy2022-23-vol1,149,
Beginning Fund Balance,99978,2022-23,approved,budget-fy2022-23-vol1,149,
Beginning Fund Balance,99978,2022-23,adopted,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,293823,2021-22,adopted,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,314424,2022-23,proposed,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,314424,2022-23,approved,budget-fy2022-23-vol1,149,
Current Year Property Taxes Other Than Local Option,314424,2022-23,adopted,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,104279,2021-22,adopted,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,109951,2022-23,proposed,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,109951,2022-23,approved,budget-fy2022-23-vol1,149,
Current Year Local Option Property Taxes,109951,2022-23,adopted,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,13724,2021-22,adopted,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,17736,2022-23,proposed,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,18736,2022-23,approved,budget-fy2022-23-vol1,149,
Other Revenue From Local Sources,18736,2022-23,adopted,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,13494,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,14374,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,12762,2021-22,adopted,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,12101,2022-23,proposed,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,12101,2022-23,approved,budget-fy2022-23-vol1,149,
2000 - Revenue - Intermediate Sources,12101,2022-23,adopted,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,230628,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,SSF General Support component in ssf.csv (p153 detail)
3000 - Revenue From State Sources,271620,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,269250,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,261465,2021-22,adopted,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,247407,2022-23,proposed,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,247407,2022-23,approved,budget-fy2022-23-vol1,149,
3000 - Revenue From State Sources,247407,2022-23,adopted,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,80,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,p153 detail prints 2020-21 subtotal 17 vs 18 here (rounding)
4000 - Revenue From Federal Sources,84,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,18,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,15,2021-22,adopted,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,15,2022-23,proposed,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,15,2022-23,approved,budget-fy2022-23-vol1,149,
4000 - Revenue From Federal Sources,15,2022-23,adopted,budget-fy2022-23-vol1,149,
5200 - Interfund Transfers,14,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,
All Other Budget Resources,55,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,proposed included 1000 accrued interest reclassified out at approval (p355)
All Other Budget Resources,17,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,
All Other Budget Resources,152,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,
All Other Budget Resources,1050,2021-22,adopted,budget-fy2022-23-vol1,149,
All Other Budget Resources,2450,2022-23,proposed,budget-fy2022-23-vol1,149,
