fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
General Fund,830038,830038,2022-23,actual-budgetary,tscc-review-fy2026,19,SUMMARY OF BUDGET - BY FUND; single total printed per fund (resources=requirements); native whole dollars
General Fund,873375,873375,2023-24,actual-budgetary,tscc-review-fy2026,19,
General Fund,854394,854394,2024-25,revised,tscc-review-fy2026,19,
General Fund,868580,868580,2025-26,approved,tscc-review-fy2026,19,
Special Revenue Fund,249354,249354,2022-23,actual-budgetary,tscc-review-fy2026,19,"2022-23 actual printed 249,354 (CONFLICT: 249,169 in FY25 review p.18; 249,357 in annual report p.84); FY2025-26 adds Measure 98: High School Success sub-fund within Special Revenue Fund (p.6)"
Special Revenue Fund,247560,247560,2023-24,actual-budgetary,tscc-review-fy2026,19,"2022-23 actual printed 249,354 (CONFLICT: 249,169 in FY25 review p.18; 249,357 in annual report p.84); FY2025-26 adds Measure 98: High School Success sub-fund within Special Revenue Fund (p.6)"
Special Revenue Fund,224318,224318,2024-25,revised,tscc-review-fy2026,19,"2022-23 actual printed 249,354 (CONFLICT: 249,169 in FY25 review p.18; 249,357 in annual report p.84); FY2025-26 adds Measure 98: High School Success sub-fund within Special Revenue Fund (p.6)"
Special Revenue Fund,224805,224805,2025-26,approved,tscc-review-fy2026,19,"2022-23 actual printed 249,354 (CONFLICT: 249,169 in FY25 review p.18; 249,357 in annual report p.84); FY2025-26 adds Measure 98: High School Success sub-fund within Special Revenue Fund (p.6)"
Debt Service Fund,84474,84474,2022-23,actual-budgetary,tscc-review-fy2026,19,
Debt Service Fund,87524,87524,2023-24,actual-budgetary,tscc-review-fy2026,19,
Debt Service Fund,88729,88729,2024-25,revised,tscc-review-fy2026,19,
Debt Service Fund,93839,93839,2025-26,approved,tscc-review-fy2026,19,
GO Bonds Debt Service Fund,160569,160569,2022-23,actual-budgetary,tscc-review-fy2026,19,
GO Bonds Debt Service Fund,178061,178061,2023-24,actual-budgetary,tscc-review-fy2026,19,
GO Bonds Debt Service Fund,170535,170535,2024-25,revised,tscc-review-fy2026,19,
GO Bonds Debt Service Fund,178851,178851,2025-26,approved,tscc-review-fy2026,19,
Capital Projects Fund,1020044,1020044,2022-23,actual-budgetary,tscc-review-fy2026,19,"2025-26 printed 643,773 here but 643,774 in Other Funds table p.16"
Capital Projects Fund,785500,785500,2023-24,actual-budgetary,tscc-review-fy2026,19,"2025-26 printed 643,773 here but 643,774 in Other Funds table p.16"
Capital Projects Fund,1030394,1030394,2024-25,revised,tscc-review-fy2026,19,"2025-26 printed 643,773 here but 643,774 in Other Funds table p.16"
Capital Projects Fund,643773,643773,2025-26,approved,tscc-review-fy2026,19,"2025-26 printed 643,773 here but 643,774 in Other Funds table p.16"
Internal Service Fund,7494,7494,2022-23,actual-budgetary,tscc-review-fy2026,19,
Internal Service Fund,7683,7683,2023-24,actual-budgetary,tscc-review-fy2026,19,
Internal Service Fund,25509,25509,2024-25,revised,tscc-review-fy2026,19,
Internal Service Fund,25269,25269,2025-26,approved,tscc-review-fy2026,19,
