group,fte,fy,basis,doc_id,page,notes
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-review-fy2026,3,"PPS; 'Number of Employees (FTE's)' in General Information table; NOT by function (function-level FTE chart pp.10-11 is image-only, no text extracted); CONFLICT: FY24/FY25 reviews print 6,212 for 2021-22"
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-review-fy2026,3,"PPS; CONFLICT: FY24/FY25 reviews print 6,530"
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-review-fy2026,3,PPS
Total - all functions (district FTE),6018,2024-25,revised,tscc-review-fy2026,3,"PPS; budgeted positions (narrative p.1: 6,018.09 FTE funded in FY2024-25 budget)"
Total - all functions (district FTE),5835.46,2025-26,approved,tscc-review-fy2026,1,"PPS; Budget Highlights narrative: positions funded fall from 6,018.09 (FY24-25) to 5,835.46, a 182.63 FTE decrease; ~183 licensed positions cut (p.11)"
Total - all functions (district FTE),6627,2020-21,actual-budgetary,tscc-review-fy2025,3,PPS
Total - all functions (district FTE),6212,2021-22,actual-budgetary,tscc-review-fy2025,3,"PPS; CONFLICT: 6,274 in FY26 review/annual report"
Total - all functions (district FTE),6530,2022-23,actual-budgetary,tscc-review-fy2025,3,"PPS; CONFLICT: 6,520 in FY26 review/annual report"
Total - all functions (district FTE),6247,2023-24,revised,tscc-review-fy2025,3,PPS; then-current year
Total - all functions (district FTE),5991,2019-20,actual-budgetary,tscc-review-fy2024,3,PPS
Total - all functions (district FTE),6627,2020-21,actual-budgetary,tscc-review-fy2024,3,PPS
Total - all functions (district FTE),6212,2021-22,actual-budgetary,tscc-review-fy2024,3,PPS
Total - all functions (district FTE),6530,2022-23,revised,tscc-review-fy2024,3,PPS; then-current year
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS
Total - all functions (district FTE),6018,2024-25,adopted,tscc-annual-report-2024-25-summaries,83,PPS; FY24-25 annual report budget year
Total - all functions (district FTE),6274,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),6018,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),641,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns); CONFLICT: summaries p.79 prints 712/746/778 for FY22-24 (784 FY25 agrees)
Total - all functions (district FTE),676,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),710,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),784,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),355,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),339,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),357,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),361,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),1336,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,"district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns); summaries p.90 prints 1,381 for FY24 (vs 1,382 here)"
Total - all functions (district FTE),1336,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1382,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1358,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),1114,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1126,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1121,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns)
Total - all functions (district FTE),1083,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions
Total - all functions (district FTE),680,2021-22,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns)
