source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,98804,2022-23,actual-budgetary,tscc-review-fy2026,19,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars
Beginning Fund Balance,105497,2023-24,actual-budgetary,tscc-review-fy2026,19,
Beginning Fund Balance,87138,2024-25,revised,tscc-review-fy2026,19,
Beginning Fund Balance,45000,2025-26,approved,tscc-review-fy2026,19,
Property Tax,428705,2022-23,actual-budgetary,tscc-review-fy2026,19,
Property Tax,456423,2023-24,actual-budgetary,tscc-review-fy2026,19,
Property Tax,463157,2024-25,revised,tscc-review-fy2026,19,
Property Tax,474854,2025-26,approved,tscc-review-fy2026,19,
Federal Revenue,21,2022-23,actual-budgetary,tscc-review-fy2026,19,
Federal Revenue,28,2023-24,actual-budgetary,tscc-review-fy2026,19,
Federal Revenue,15,2024-25,revised,tscc-review-fy2026,19,
Federal Revenue,15,2025-26,approved,tscc-review-fy2026,19,
State Revenue,272033,2022-23,actual-budgetary,tscc-review-fy2026,19,
State Revenue,280781,2023-24,actual-budgetary,tscc-review-fy2026,19,
State Revenue,271565,2024-25,revised,tscc-review-fy2026,19,
State Revenue,297191,2025-26,approved,tscc-review-fy2026,19,
Local Revenue,9947,2022-23,actual-budgetary,tscc-review-fy2026,19,
Local Revenue,8125,2023-24,actual-budgetary,tscc-review-fy2026,19,
Local Revenue,12965,2024-25,revised,tscc-review-fy2026,19,
Local Revenue,8814,2025-26,approved,tscc-review-fy2026,19,
Fees and Charges,8365,2022-23,actual-budgetary,tscc-review-fy2026,19,
Fees and Charges,7471,2023-24,actual-budgetary,tscc-review-fy2026,19,
Fees and Charges,7865,2024-25,revised,tscc-review-fy2026,19,
Fees and Charges,6365,2025-26,approved,tscc-review-fy2026,19,
Other Income,12163,2022-23,actual-budgetary,tscc-review-fy2026,19,
Other Income,15050,2023-24,actual-budgetary,tscc-review-fy2026,19,
Other Income,11689,2024-25,revised,tscc-review-fy2026,19,
Other Income,12379,2025-26,approved,tscc-review-fy2026,19,
Transfers In,0,2022-23,actual-budgetary,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)"
Transfers In,0,2023-24,actual-budgetary,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)"
Transfers In,0,2024-25,revised,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)"
Transfers In,23962,2025-26,approved,tscc-review-fy2026,19,"2025-26 transfer in ~$24.0M from PERS Rate Stabilization Fund (p.6, p.10)"
TOTAL FUND RESOURCES,830038,2022-23,actual-budgetary,tscc-review-fy2026,19,
TOTAL FUND RESOURCES,873375,2023-24,actual-budgetary,tscc-review-fy2026,19,
TOTAL FUND RESOURCES,854394,2024-25,revised,tscc-review-fy2026,19,
