imposed_k,collected_k,positions_funded,fy,basis,doc_id,page,notes
143107,,,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"PPS local option levy EXTENDED (pre-compression) 143,107,389; compression loss 34,215,122 (24%); effective rate 1.5142 vs levied 1.9900; positions_funded not printed (levy purpose 'General Operations')"
1126,,,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"district: Riverdale SD 51J; local option extended 1,126,127; compression loss 29,350 (3%); effective 1.3343"
,109213,,2022-23,actual-budgetary,tscc-review-fy2026,7,"PPS; Local Option Levy Property Taxes row, all-funds property tax breakdown (= collections/revenue, post-compression, incl delinquents as budgeted); native whole dollars"
,106896,,2023-24,actual-budgetary,tscc-review-fy2026,7,PPS
,104608,,2024-25,revised,tscc-review-fy2026,7,PPS; budgeted collections
,109222,,2025-26,approved,tscc-review-fy2026,7,PPS; budgeted collections; levy renewals 2011/2014/2019 + May 2024 (rate $1.99)
,104719,,2021-22,actual-budgetary,tscc-review-fy2025,6,PPS; property tax breakdown table
,109213,,2022-23,actual-budgetary,tscc-review-fy2025,6,PPS
,114676,,2023-24,revised,tscc-review-fy2025,6,PPS; budgeted collections
,104608,,2024-25,approved,tscc-review-fy2025,6,PPS; budgeted collections; May 2024 renewal
,100955,,2020-21,actual-budgetary,tscc-review-fy2024,6,PPS; property tax breakdown table
,104719,,2021-22,actual-budgetary,tscc-review-fy2024,6,PPS
,109951,,2022-23,revised,tscc-review-fy2024,6,PPS; budgeted collections
,114676,,2023-24,approved,tscc-review-fy2024,6,PPS; budgeted collections
,104719,,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,84,PPS; annual report property tax breakdown
,109213,,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,84,PPS
,114676,,2023-24,revised,tscc-annual-report-2024-25-summaries,84,PPS
,104608,,2024-25,adopted,tscc-annual-report-2024-25-summaries,84,PPS
