permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2026,3,"operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars); PPS; General Information table"
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -25,191,648"
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -35,716,191"
5.2781,,1.9900,2.3338,71.052,151.420,42564,2024-25,actual-budgetary,tscc-review-fy2026,3,"PPS; M5 impact printed -42,563,967; debt service rate 2.3338 here and in 26-259 review but 2.3838 in annual report summaries p.83"
5.2781,,1.9900,2.4017,56.046,140.249,22990,2020-21,actual-budgetary,tscc-review-fy2025,3,"PPS; M5 impact printed -22,989,685; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)"
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2025,3,PPS
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2025,3,PPS
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-review-fy2025,3,PPS
5.2781,,1.9900,2.4053,53.703,134.586,20911,2019-20,actual-budgetary,tscc-review-fy2024,3,"PPS; M5 loss printed -20,910,923; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)"
5.2781,,1.9900,2.4017,56.046,140.249,22990,2020-21,actual-budgetary,tscc-review-fy2024,3,PPS
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-review-fy2024,3,PPS
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-review-fy2024,3,PPS
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,83,"PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)"
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS
5.2781,,1.9900,2.3838,71.052,151.420,42564,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS; debt service rate printed 2.3838 (CONFLICT: 2.3338 in tscc-review-fy2026 p.3 and tscc-measure-26-259 p.3)
5.2781,,1.9900,2.3335,59.615,147.264,24819,2021-22,actual-budgetary,tscc-measure-26-259-review,3,"PPS; operations rate printed is combined permanent+gap ($5.2781); TSCC does not split (permanent 4.7743 + gap 0.5038 per district budget books); compression_loss = 'Measure 5 Impact' (total M5 loss, native whole dollars)"
5.2781,,1.9900,2.3000,62.494,157.078,25192,2022-23,actual-budgetary,tscc-measure-26-259-review,3,PPS
5.2781,,1.9900,2.3828,69.007,156.668,35716,2023-24,actual-budgetary,tscc-measure-26-259-review,3,PPS
5.2781,,1.9900,2.3338,71.052,151.420,42564,2024-25,actual-budgetary,tscc-measure-26-259-review,3,PPS; debt service rate 2.3338
5.2771,,1.9900,2.4053,,,,2019-20,actual-budgetary,tscc-measure-26-215-review,4,PPS; FY20 Property Tax Rates box; permanent printed 5.2771 (LIKELY TYPO for 5.2781 used everywhere else); total printed 9.6724 in box but 9.6742 in adjacent text (internally inconsistent)
,,1.9900,,,,34215,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"PPS; LOCAL OPTION LEVY compression only (not total M5 loss): extended 143,107,389, compression loss 34,215,122 (24% reduced), effective rate 1.5142; local-option share of total M5 loss (42,564k) ~80%; tscc-review-fy2024 p.6 says local option bore roughly 88% of compression in FY22-23"
,,1.3700,,,,29.4,2024-25,actual-budgetary,tscc-annual-report-2024-25-general,50,"district: Riverdale SD 51J; local option compression: extended 1,126,127, loss 29,350 (3%), effective rate 1.3343"
0.4576,,,,86.733,196.714,412.7,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; from district General Information table; M5 impact native whole dollars; education service district (not K-12); no local option or bond rate printed
0.4576,,,,90.678,211.928,442.7,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD
0.4576,,,,97.948,214.090,719.4,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD
0.4576,,,,101.761,210.143,894.0,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD
4.8906,,,0.6825,4.673,7.938,1158.9,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,86,"district: Parkrose SD 3; from district General Information table; M5 impact native whole dollars; withdrawn from TSCC jurisdiction; outstanding debt 6-30-24 $87,057,804"
4.8906,,,0.7041,4.742,8.373,1116.3,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3
4.8906,,,0.7422,4.755,8.678,1133.1,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3
4.8906,,,0.7496,4.952,8.587,1246.0,2024-25,actual-budgetary,tscc-annual-report-2024-25-summaries,86,district: Parkrose SD 3
4.4626,,,1.6150,6.931,13.082,118.5,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,90,"district: Reynolds SD 7; from district General Information table; M5 impact native whole dollars; limited member of TSCC; outstanding debt 6-30-24 $145,531,479"
4.4626,,,1.5433,7.267,14.304,126.5,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,90,district: Reynolds SD 7
