group,fte,fy,basis,doc_id,page,notes,fragment
District Level Administration,22.4,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Educational Assistants,636.0,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Other Staff,1896.9,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
School Level Administration,140.6,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Teachers,2440.5,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Total FTE,5136.4,2011,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
District Level Administration,13.0,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Educational Assistants,555.8,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Other Staff,1850.3,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
School Level Administration,142.9,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Teachers,2315.0,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Total FTE,4877.0,2012,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
District Level Administration,14.0,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Educational Assistants,520.9,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Other Staff,1798.4,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
School Level Administration,144.2,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Teachers,2353.1,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Total FTE,4830.6,2013,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
District Level Administration,11.0,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Educational Assistants,509.8,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Other Staff,1720.0,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
School Level Administration,142.3,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Teachers,2384.0,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Total FTE,4767.1,2014,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
District Level Administration,17.0,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Educational Assistants,582.1,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Other Staff,2056.5,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
School Level Administration,155.0,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Teachers,2606.8,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
Total FTE,5417.4,2015,actual-acfr,acfr-fy2020,135,Sch 15,acfr-statistical
District grand total (all employee types),5793.00,2015-16,actual-budgetary,budget-fy2019-20-book,185,"FTE by Major Program and Employee Type table, column '2016 Actual'",fy2019-20
District Level Administration,22.0,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
District Level Administration,22.0,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Educational Assistants,667.8,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Educational Assistants,667.8,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Other Staff,1959.4,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Other Staff,1959.4,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
School Level Administration,151.0,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
School Level Administration,151.0,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Teachers,2632.5,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Teachers,2632.5,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Total FTE,5432.7,2016,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Total FTE,5432.7,2016,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
All Funds: TOTAL,5866.1,2016-17,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17),fy2020-21
Central Support,160.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Central Support,162.17,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
District grand total (all employee types),5866.10,2016-17,actual-budgetary,budget-fy2019-20-book,185,column '2017 Actual',fy2019-20
Enterprise and Community Services,226.40,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
Enterprise and Community Services,8.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Facilities Acquisition and Construction,20.80,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
Instruction,3088.45,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Instruction,3509.18,2016-17,adopted,budget-fy2016-17-book,57,"Staffing Summary by Program and Fund, adopted 2016/17; allocations described as preliminary; all funds",fy2016-17
Instructional Support Services,703.95,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Instructional Support Services,846.13,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
Support Services - General Administration,1062.38,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Support Services - General Administration,1071.75,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
Total FTE,5023.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only,fy2016-17
Total FTE,5836.43,2016-17,adopted,budget-fy2016-17-book,57,all funds,fy2016-17
District Level Administration,21.0,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
District Level Administration,21.0,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Educational Assistants,674.3,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Educational Assistants,674.3,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Other Staff,2123.1,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Other Staff,2123.1,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
School Level Administration,166.5,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
School Level Administration,166.5,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Teachers,2737.7,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Teachers,2737.7,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Total FTE,5722.6,2017,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Total FTE,5722.6,2017,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
All Funds: TOTAL,5775.25,2017-18,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17),fy2020-21
Central Support - all funds,147.45,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Central Support - Fund 101 (General Fund),146.05,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
District grand total (all employee types),5775.25,2017-18,actual-budgetary,budget-fy2019-20-book,185,column '2018 Actual',fy2019-20
District Grand Total (FTE by Major Function and Employee Type),5775.25,2017-18,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2018 Actual,fy2021-22
Enterprise and Community Services - all funds,218.33,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Enterprise and Community Services - Fund 101 (General Fund),11.98,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Facilities Acquisition and Construction - all funds,16.00,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Facilities Acquisition and Construction - Fund 101 (General Fund),0.00,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Instruction - all funds,3429.45,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Instruction - Fund 101 (General Fund),3017.38,2017-18,adopted,budget-fy2017-18-book,55,"FTE as printed (not thousands); 'Support Services General Administration' subtotal includes Executive Admin, School Admin, Business, O&M of Plant, Transportation, Internal Services; book warns allocations are preliminary",fy2017-18
Instructional Support Services - all funds,840.95,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Instructional Support Services - Fund 101 (General Fund),708.85,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Support Services General Administration - all funds,1095.28,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Support Services General Administration - Fund 101 (General Fund),1084.83,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Total FTE - all funds,5747.46,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
Total FTE - Fund 101 (General Fund),4969.09,2017-18,adopted,budget-fy2017-18-book,55,,fy2017-18
District Level Administration,19.2,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
District Level Administration,19.2,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Educational Assistants,680.8,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Educational Assistants,680.8,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Other Staff,2275.2,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Other Staff,2275.2,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
School Level Administration,167.3,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
School Level Administration,167.3,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Teachers,2684.2,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Teachers,2684.2,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Total FTE,5826.7,2018,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Total FTE,5826.7,2018,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
All Funds: TOTAL,5836.49,2018-19,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17),fy2020-21
District grand total (all employee types),5836.49,2018-19,revised,budget-fy2019-20-book,185,column '2019 Current',fy2019-20
District Grand Total (FTE by Major Function and Employee Type),5836.49,2018-19,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2019 Actual,fy2021-22
District Grand Total (FTE by Major Function and Employee Type),5836.49,2018-19,actual-budgetary,budget-fy2022-23-vol1,282,FTE by Major Function and Employee Type table pp281-282; column headed '2019 Actual',fy2022-23
Total Central Support,134.15,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total Enterprise & Community Services,223.04,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total Facilities Acquisition & Construction,35.00,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 101 General Fund,4999.79,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 202 Cafeteria,188.05,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 205 Grants,504.15,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 299 Dedicated Resource,71.38,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 450 GO Bonds,35.00,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE - Fund 601 Self Insurance,2.28,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total FTE (all funds),5800.65,2018-19,adopted,budget-fy2018-19-book,45,book cautions staffing allocations are preliminary until Fall Balancing,fy2018-19
Total Instructional Programs,3402.78,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total Instructional Support Services,918.14,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
Total Support Services General Administration,1087.54,2018-19,adopted,budget-fy2018-19-book,45,,fy2018-19
District Level Administration,16.0,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
District Level Administration,16.0,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Educational Assistants,647.1,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Educational Assistants,647.1,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Other Staff,2048.1,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Other Staff,2048.1,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
School Level Administration,165.5,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
School Level Administration,165.5,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Teachers,2697.3,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Teachers,2697.3,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
Total FTE,5574.0,2019,actual-acfr,acfr-fy2020,136,Sch 15,acfr-statistical
Total FTE,5574.0,2019,actual-acfr,acfr-fy2025,143,Sch 15,acfr-statistical
1000 - Instruction (all funds),3439.77,2019-20,adopted,budget-fy2019-20-book,74,"Budget FTE column, Summary of Requirements by Major Program - All Funds",fy2019-20
1000 - Instruction (General Fund),3044.91,2019-20,adopted,budget-fy2019-20-book,83,"Budget FTE column, GF requirements by major program",fy2019-20
2000 - Support Services (all funds),2222.51,2019-20,adopted,budget-fy2019-20-book,74,,fy2019-20
2000 - Support Services (General Fund),2043.46,2019-20,adopted,budget-fy2019-20-book,83,,fy2019-20
3000 - Enterprise and Community Svcs (all funds),241.05,2019-20,adopted,budget-fy2019-20-book,74,,fy2019-20
3000 - Enterprise and Community Svcs (General Fund),13.38,2019-20,adopted,budget-fy2019-20-book,83,,fy2019-20
4000 - Facilities Acquisition and Construction (all funds),27.00,2019-20,adopted,budget-fy2019-20-book,74,,fy2019-20
All Funds - Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2020 Actual',fy2023-24
All Funds: 1000 Instruction,3439.77,2019-20,revised,budget-fy2020-21-vol1,109,Budget FTE columns of Summary of Requirements by Major Function - All Funds,fy2020-21
All Funds: 2000 Support Services,2222.51,2019-20,revised,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: 3000 Enterprise And Community Svcs,241.05,2019-20,revised,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: 4000 Facilities Acquisition And Con,27.0,2019-20,revised,budget-fy2020-21-vol1,109,,fy2020-21
All Funds: TOTAL,5930.33,2019-20,revised,budget-fy2020-21-vol1,109,,fy2020-21
District grand total (all employee types),5930.33,2019-20,adopted,budget-fy2019-20-book,185,column '2020 Budget',fy2019-20
District Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2020 Actual,fy2021-22
District Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2022-23-vol1,282,column headed '2020 Actual',fy2022-23
Employee type - Administrators (all funds),301.21,2019-20,adopted,budget-fy2019-20-book,183,"2019-20 Budgeted Positions, by employee type not function",fy2019-20
