function_code,label,amount_k,fy,basis,doc_id,page,notes,fragment
,Total Requirements,516645.666,2013-14,actual-budgetary,budget-fy2016-17-book,79,"p79 prints 2013/14 total 516,645,666; account view p89/p94 prints 516,645,665 (dollar rounding)",fy2016-17
1000,Instruction,271983.576,2013-14,actual-budgetary,budget-fy2016-17-book,79,"native unit whole dollars; function codes assigned per Oregon convention (table prints program-area labels, not codes)",fy2016-17
2000,Support Services,182354.183,2013-14,actual-budgetary,budget-fy2016-17-book,79,,fy2016-17
3000,Enterprise & Community Services,1621,2013-14,actual-budgetary,budget-fy2016-17-book,79,,fy2016-17
5000,Debt Service & Transfers Out,9013.122,2013-14,actual-budgetary,budget-fy2016-17-book,79,GF debt service & transfers are fund transfers (program 52100) only,fy2016-17
6000,Contingency,0,2013-14,actual-budgetary,budget-fy2016-17-book,79,actual-year columns printed as dash (contingency is never expended),fy2016-17
7000,Ending Fund Balance,51673.785,2013-14,actual-budgetary,budget-fy2016-17-book,79,"budget-year columns printed as dash; p94 program detail prints 2013/14 EFB as 51,673,784 (dollar rounding)",fy2016-17
,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2016-17-book,79,"p79 prints 2013/14 total 516,645,666; account view p89/p94 prints 516,645,665 (dollar rounding)",fy2016-17
1000,Instruction,293299.904,2014-15,actual-budgetary,budget-fy2016-17-book,79,,fy2016-17
1000,Instruction,293299.904,2014-15,actual-budgetary,budget-fy2017-18-book,78,native unit whole dollars; function codes mapped from PPS major program labels per Oregon PBAM; in GF the 5000 line is fund transfers only (no direct GF debt service function line),fy2017-18
2000,Support Services,201248.427,2014-15,actual-budgetary,budget-fy2016-17-book,79,,fy2016-17
2000,Support Services,201248.427,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
3000,Enterprise & Community Services,1829.764,2014-15,actual-budgetary,budget-fy2016-17-book,79,,fy2016-17
3000,Enterprise & Community Services,1829.764,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
5000,Debt Service & Transfers Out,14409.096,2014-15,actual-budgetary,budget-fy2016-17-book,79,GF debt service & transfers are fund transfers (program 52100) only,fy2016-17
5000,Debt Service & Transfers Out,14409.096,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
6000,Contingency,0,2014-15,actual-budgetary,budget-fy2016-17-book,79,actual-year columns printed as dash (contingency is never expended),fy2016-17
6000,Contingency,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
7000,Ending Fund Balance / Unappropriated,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
7000,Ending Fund Balance,34441.54,2014-15,actual-budgetary,budget-fy2016-17-book,79,"budget-year columns printed as dash; p94 program detail prints 2013/14 EFB as 51,673,784 (dollar rounding)",fy2016-17
TOTAL,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
,Total General Fund Requirements,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,74,,fy2018-19
,Total Requirements,579158.367,2015-16,revised,budget-fy2016-17-book,79,"p79 prints 2013/14 total 516,645,666; account view p89/p94 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,583732,2015-16,actual-budgetary,budget-fy2019-20-book,83,,fy2019-20
1000,Instruction,316029,2015-16,actual-budgetary,budget-fy2019-20-book,83,"native unit thousands; Summary of Requirements by Major Program - General Fund; appropriations resolution p415 prints 1000=371,970 and 2000=289,512 (rounding)",fy2019-20
1000,Instruction,316029.450,2015-16,actual-budgetary,budget-fy2017-18-book,78,,fy2017-18
1000,Instruction,316029.450,2015-16,actual-budgetary,budget-fy2018-19-book,74,native unit whole dollars,fy2018-19
