object_code,label,amount_k,fy,basis,doc_id,page,notes,fragment
,Contingency,0,2013-14,actual-budgetary,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,51673.785,2013-14,actual-budgetary,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements,516645.666,2013-14,actual-budgetary,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
100,Salaries,246921.093,2013-14,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,376576.888,2013-14,actual-budgetary,budget-fy2016-17-book,80,native unit whole dollars; combined category as printed; see rows 100/200 for the split,fy2016-17
200,Employee Benefits,129655.795,2013-14,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300+400,Materials and Services,72308.4,2013-14,actual-budgetary,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
500,Capital Outlay,3297.504,2013-14,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
600,Debt Service & Other,3775.967,2013-14,actual-budgetary,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
700,Fund Transfers,9013.122,2013-14,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
,Contingency,0,2014-15,actual-budgetary,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,34441.54,2014-15,actual-budgetary,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
100,Salaries (subtotal),271479.428,2014-15,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries,271479.428,2014-15,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,408398.173,2014-15,actual-budgetary,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
100+200,Salaries and Benefits,408398.173,2014-15,actual-budgetary,budget-fy2017-18-book,79,native unit whole dollars; book combines objects 100/200 and 300/400 at summary level - split rows 100 and 200 provided from detail subtotals,fy2017-18
200,Employee Benefits (subtotal),136918.746,2014-15,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits,136918.746,2014-15,actual-budgetary,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300+400,Materials and Services,79196.52,2014-15,actual-budgetary,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,79196.520,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
500,Capital Outlay,5558.214,2014-15,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,5558.214,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
600,Debt Service & Other,3225.187,2014-15,actual-budgetary,budget-fy2016-17-book,80,"other objects (fiscal charges, dues, insurance, etc.); GF has no bonded debt service",fy2016-17
600,Debt Service & Other,3225.187,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
700,Fund Transfers,14409.096,2014-15,actual-budgetary,budget-fy2016-17-book,80,,fy2016-17
700,Fund Transfers,14409.096,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
810,Contingency,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,79,PPS account 581000 Operating Contingency,fy2017-18
EFB,Ending Fund Balance,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,79,PPS account 376520; not an expenditure object,fy2017-18
TOTAL,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
,Contingency,20199.28,2015-16,revised,budget-fy2016-17-book,80,actual-year columns printed as dash,fy2016-17
,Ending Fund Balance,0,2015-16,revised,budget-fy2016-17-book,80,budget-year columns printed as dash,fy2016-17
,Total Requirements by Account,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
,Total Requirements,579158.367,2015-16,revised,budget-fy2016-17-book,80,"p80 prints 2013/14 total 516,645,666; account detail p98 prints 516,645,665 (dollar rounding)",fy2016-17
,Total Requirements,583732,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
100,Other Salaries,18458,2015-16,actual-budgetary,budget-fy2019-20-book,84,printed as 'OTHER SALARIES' (residual 100-object salaries),fy2019-20
100,Salaries (subtotal),303824.963,2015-16,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
100,Salaries (subtotal),303824.963,2015-16,actual-budgetary,budget-fy2018-19-book,89,native unit whole dollars; 300-series and 500-series appear only as multiple printed subtotals (no single 300/500 total printed); contingency/EFB carried at printed account codes,fy2018-19
100,Salaries,307086.945,2015-16,revised,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Salaries; overlaps row 100+200 - do not double count,fy2016-17
100+200,Salaries and Benefits,445392.054,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
100+200,Salaries and Benefits,459654.387,2015-16,revised,budget-fy2016-17-book,80,combined category as printed; see rows 100/200 for the split,fy2016-17
111,Licensed Salaries,197803,2015-16,actual-budgetary,budget-fy2019-20-book,84,native unit thousands; Summary of Requirements by Major Account - General Fund,fy2019-20
1121,Classified - Represented,43187,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
1122,Non-Represented Staff,21309,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
113,Administrators,23068,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Associated Payroll Costs,141567,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
200,Employee Benefits (subtotal),141567.091,2015-16,actual-budgetary,budget-fy2017-18-book,95,component of 100+200 row; printed subtotal of GF Requirements by Account detail,fy2017-18
200,Employee Benefits (subtotal),141567.091,2015-16,actual-budgetary,budget-fy2018-19-book,89,,fy2018-19
200,Employee Benefits,152567.442,2015-16,revised,budget-fy2016-17-book,95,Fund 101 detail Subtotal - Employee Benefits; overlaps row 100+200 - do not double count,fy2016-17
300,Charter Schools (536000),12611.042,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Communications,3153.466,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Instructional Prof. & Technical Services,6666.665,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Non-Instruct. Prof. & Tech. Services,12191.820,2015-16,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300,Property Services,16365.664,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Purchased Services,73905,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
300,Transportation Services,14051.494,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Travel,1183.728,2015-16,actual-budgetary,budget-fy2018-19-book,90,,fy2018-19
300,Tuition Payments,7681.196,2015-16,actual-budgetary,budget-fy2018-19-book,91,,fy2018-19
300+400,Materials and Services,86590.264,2015-16,revised,budget-fy2016-17-book,80,combined purchased services + supplies category as printed,fy2016-17
300+400,Materials and Services,86807.462,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
376520,Budgeted Ending Fund Balance,37835,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
376520,Ending Fund Balance,37835.045,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies & Materials,12902.387,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
400,Supplies and Materials,12902,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Building Acquisition and Improvements,2.619,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Capital Outlay,1713.106,2015-16,revised,budget-fy2016-17-book,80,,fy2016-17
500,Capital Outlay,2737,2015-16,actual-budgetary,budget-fy2019-20-book,84,,fy2019-20
500,Capital Outlay,2737.164,2015-16,actual-budgetary,budget-fy2017-18-book,79,,fy2017-18
500,Equipment,765.326,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
500,Other Capital Outlay,431.272,2015-16,actual-budgetary,budget-fy2018-19-book,92,,fy2018-19
