source,amount_k,fy,basis,doc_id,page,notes,fragment
Charges for services,11814,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,9544,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7563,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,79034,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,28991,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,649,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,38603,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,11991,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,196044,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,4461,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,139229,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,527923,2011,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,45953,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,9588,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7355,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,84704,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,4591,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,579,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,53099,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,15127,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,200716,2012,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
