imposed_k,collected_k,positions_funded,fy,basis,doc_id,page,notes,fragment
239467,225418,,2011,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.13% of levy); subsequent-year collections 7864k; total to date 233282k,acfr-statistical
261004,244408,,2012,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (93.64% of levy); subsequent-year collections 7959k; total to date 252367k,acfr-statistical
263395,248807,,2013,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.46% of levy); subsequent-year collections 7584k; total to date 256391k,acfr-statistical
321693,304458,,2014,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.64% of levy); subsequent-year collections 8415k; total to date 312873k,acfr-statistical
341388,323906,,2015,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.88% of levy); subsequent-year collections 8198k; total to date 332104k,acfr-statistical
90696,75357,,2015-16,actual-budgetary,budget-fy2019-20-book,174,imposed from Total Taxes Levied chart p174 ('Local Option Taxes Levied'); collected = GF current-year local option collections p82 (excludes prior-year collections),fy2019-20
368590,350212,,2016,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.01% of levy); subsequent-year collections 6860k; total to date 357072k,acfr-statistical
368590,350212,,2016,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.01% of levy); subsequent-year collections 7015k; total to date 357227k,acfr-statistical
,81016.899,827,2016-17,actual-budgetary,budget-fy2017-18-book,15,"CBRC Local Option Review: $81,016,899 received from Multnomah/Washington/Clackamas counties as of April 12, 2017 (partial year); ~827 teaching positions computed by CBRC at $98,017 avg teacher cost (levy goal >=640; prior year ~757); imposed amount not printed (levy imposed as $1.9900/$1,000 rate); 2017/18 local option forecast 'approximately $86 million' is narrative only (PDF p67)",fy2017-18
94216,82878,,2016-17,actual-budgetary,budget-fy2019-20-book,174,,fy2019-20
94216,82878,,2016-17,actual-budgetary,budget-fy2020-21-vol1,236,Local Option Levy; imposed_k = Local Option Taxes Levied from Total Taxes Levied chart p.236; collected_k = GF Current Year Local Option Property Taxes p.117 (budget-basis collections),fy2020-21
386715,368085,,2017,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.18% of levy); subsequent-year collections 5870k; total to date 373955k,acfr-statistical
386715,368085,,2017,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.18% of levy); subsequent-year collections 6635k; total to date 374720k,acfr-statistical
,84105.948,790,2017-18,actual-budgetary,budget-fy2018-19-book,24,"local option levy receipts from Multnomah, Washington and Clackamas counties as of April 27 2018; ~790 teaching positions at avg teacher cost $106,419 (CBRC Local Option Review)",fy2018-19
93037,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,278,"Local Option Taxes Levied series from Total Taxes Levied chart (in thousands); positions funded by levy not printed in this book; budgeted local option collections 104,279 adopted 2021-22 (p.151); levy rate 1.9900 approved Nov 5 2019 for 2020-21 through 2024-25 (ED-50 p.378)",fy2021-22
98914,88405,,2017-18,actual-budgetary,budget-fy2019-20-book,174,,fy2019-20
98914,88405,,2017-18,actual-budgetary,budget-fy2020-21-vol1,236,,fy2020-21
476797,451059,,2018,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (94.60% of levy); subsequent-year collections 5828k; total to date 456887k,acfr-statistical
476797,451059,,2018,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (94.60% of levy); subsequent-year collections 7954k; total to date 459013k,acfr-statistical
,,800,2018-19,adopted,budget-fy2018-19-book,22,"CBRC: levy 'will fund approximately 800 teachers' in 2018/19; levy forecast to generate approximately $95 million in 2018/19 (p.65); no imposed dollar total printed (rate levy at $1.9900/$1,000)",fy2018-19
101713,93548,835.00,2018-19,revised,budget-fy2019-20-book,174,"positions_funded = All PPS local option levy positions, 2018-19 GF Local Option Levy Staffing By School, p407; collected is 2018-19 budget column p82",fy2019-20
101714,,,2018-19,actual-budgetary,budget-fy2022-23-vol1,270,"Local Option Taxes Levied from Total Taxes Levied chart, Assessed Value page (in thousands); collected amount and positions funded not printed for local option separately in this book",fy2022-23
101714,94272,,2018-19,actual-budgetary,budget-fy2020-21-vol1,236,,fy2020-21
98328,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands),fy2021-22
495645,474602,,2019,actual-acfr,acfr-fy2020,128,Sch 9; collected_k = collected within fiscal year of levy (95.75% of levy); subsequent-year collections 4327k; total to date 478929k,acfr-statistical
495645,474602,,2019,actual-acfr,acfr-fy2025,135,Sch 9; collected_k = collected within fiscal year of levy (95.75% of levy); subsequent-year collections 7909k; total to date 482511k,acfr-statistical
