contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes,fragment
,31541,2011,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 795, committed 1289, unassigned 29457; Sch 3; native unit thousands",acfr-statistical
,30925,2012,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 452, committed 1583, unassigned 28890",acfr-statistical
,37457,2013,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 139, unassigned 37318",acfr-statistical
,51674,2014,actual-acfr,acfr-fy2020,119,"GF classifications: nonspendable 200, restricted 560, unassigned 50914",acfr-statistical
0.000,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,78,General Fund; native unit whole dollars; GF budgets no ending fund balance in 2016/17-2017/18 (contingency only),fy2017-18
0.000,456591.738,2014-15,actual-budgetary,budget-fy2017-18-book,73,all funds; adopted contingency incl. $412.4M budgetary contingency in Fund 450 GO Bonds (unissued 2017 bond capacity),fy2017-18
,34442,2015,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 247, unassigned 34195",acfr-statistical
0,348085,2015-16,actual-budgetary,budget-fy2019-20-book,74,All Funds scope,fy2019-20
0,37835,2015-16,actual-budgetary,budget-fy2019-20-book,83,native unit thousands; General Fund scope; contingency not spent as such in actuals; EFB = 7000 unappropriated,fy2019-20
0.000,348084.792,2015-16,actual-budgetary,budget-fy2017-18-book,73,all funds,fy2017-18
0.000,37835.045,2015-16,actual-budgetary,budget-fy2017-18-book,78,General Fund,fy2017-18
0.000,37835.045,2015-16,actual-budgetary,budget-fy2018-19-book,74,General Fund only; native unit whole dollars,fy2018-19
,37835,2016,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 386, assigned 7200, unassigned 30249; note acfr-fy2025 reclassifies 2016 as assigned 37449 unassigned 0",acfr-statistical
,37835,2016,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 386, assigned 37449",acfr-statistical
0,20104,2016-17,actual-budgetary,budget-fy2019-20-book,83,General Fund scope,fy2019-20
0,221460,2016-17,actual-budgetary,budget-fy2019-20-book,74,All Funds scope,fy2019-20
0.000,20104.463,2016-17,actual-budgetary,budget-fy2018-19-book,74,General Fund only,fy2018-19
15233.717,0,2016-17,adopted,budget-fy2016-17-book,77,"General Fund; EFB printed as zero/dash in adopted column (p79); unassigned contingency 2.475%% of expenditures, below 3%% board policy (p63); proposed contingency included $1.5M self-insurance reserve (p64)",fy2016-17
15645.377,0.000,2016-17,revised,budget-fy2017-18-book,78,General Fund,fy2017-18
46513.962,28627.262,2016-17,revised,budget-fy2017-18-book,73,all funds,fy2017-18
71317.788,26410.405,2016-17,adopted,budget-fy2016-17-book,72,"All funds combined (Requirements, All Funds table)",fy2016-17
,20104,2017,actual-acfr,acfr-fy2020,120,"GF classifications: nonspendable 360, assigned 7200, unassigned 12544; acfr-fy2025 shows assigned 19744 unassigned 0",acfr-statistical
,20104,2017,actual-acfr,acfr-fy2025,127,"GF classifications: nonspendable 360, assigned 19744",acfr-statistical
0,38282,2017-18,actual-budgetary,budget-fy2019-20-book,83,General Fund scope,fy2019-20
0,38282,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,"native unit thousands of dollars; General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance",fy2021-22
0,558757,2017-18,actual-budgetary,budget-fy2019-20-book,74,All Funds scope,fy2019-20
0,558757,2017-18,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds",fy2021-22
19733.094,14805.081,2017-18,revised,budget-fy2018-19-book,74,General Fund only,fy2018-19
23514.287,0.000,2017-18,adopted,budget-fy2017-18-book,78,General Fund,fy2017-18
23514.287,0.000,2017-18,approved,budget-fy2017-18-book,78,General Fund,fy2017-18
24918.902,0.000,2017-18,proposed,budget-fy2017-18-book,78,General Fund,fy2017-18
437472.786,43876.325,2017-18,revised,budget-fy2018-19-book,69,all funds combined,fy2018-19
