ssf_total_k,gp_grant_k,local_revenue_offset_k,fy,basis,doc_id,page,notes,fragment
184689.998,,,2013-14,actual-budgetary,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101; native unit whole dollars; general purpose grant vs local revenue offset split not printed in this book",fy2016-17
179505.339,,,2014-15,actual-budgetary,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101",fy2016-17
179505.339,,,2014-15,actual-budgetary,budget-fy2017-18-book,89,"native unit whole dollars; account 431010 SSF General Support (GF cash receipts from State School Fund; excludes the local permanent-rate property tax offset retained locally); Common School Fund (431030) adopted separately at $6,190,000; grand-total/equalization grant split not printed",fy2017-18
207729.221,,,2015-16,revised,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101",fy2016-17
211252.753,,,2015-16,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
211252.753,,,2015-16,actual-budgetary,budget-fy2018-19-book,83,acct 431010 SSF--General Support (General Fund); native unit whole dollars; book prints no general purpose grant / local revenue offset breakdown,fy2018-19
211253,,,2015-16,actual-budgetary,budget-fy2019-20-book,86,"account 431010 SSF--General Support, General Fund detail; general purpose grant and local revenue offset components not printed anywhere in this book; Common School Fund (431030) is separate (5,132 adopted 2019-20)",fy2019-20
207182,,,2016-17,actual-budgetary,budget-fy2019-20-book,86,,fy2019-20
207182,,,2016-17,actual-budgetary,budget-fy2020-21-vol1,121,"account 431010 SSF--General Support, General Fund resources detail (native unit thousands); GP grant / local revenue offset split not printed in this book; budget assumption p.52: $9.0B state K-12 appropriation, 49/51 biennium split, PPS second-year share $258M, ADMw 57,600",fy2020-21
207182.021,,,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
218306.69,,,2016-17,adopted,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101",fy2016-17
218306.69,,,2016-17,approved,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101",fy2016-17
218306.69,,,2016-17,proposed,budget-fy2016-17-book,89,"account 431010 SSF--General Support, Fund 101",fy2016-17
218306.690,,,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
235502.000,,,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
