permanent_rate,gap_rate,local_option_rate,bond_rate,av_billions,rmv_billions,compression_loss_k,fy,basis,doc_id,page,notes,fragment
5.2781,,1.25,0.0,38.1209,,,2011,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 6.5281; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; local option 1.2500 this year only; GO bond rate printed as dash (zero); reduction+adjustments 9390k,acfr-statistical
5.2781,,1.99,0.0,39.2201,,,2012,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 7.2681; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; GO bond rate printed as dash (zero); Sch 5 p124 prints total direct rate as '7' (truncated misprint; Sch 6 p125 shows 7.2681); reduction+adjustments 24051k,acfr-statistical
5.2781,,1.99,0.0,40.3419,,,2013,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 7.2681; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; GO bond rate printed as dash (zero); reduction+adjustments 29814k,acfr-statistical
5.2781,,1.99,1.089,41.7469,,,2014,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3571; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 27190k,acfr-statistical
5.2781,,1.99,1.0854,43.6368,,,2015,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3535; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 23132k,acfr-statistical
4.7743,0.5038,1.9900,1.0951,45.575,90.931,24298,2015-16,actual-budgetary,budget-fy2019-20-book,176,"component rates (permanent 4.7743 + gap 0.5038 = 5.2781 combined operations rate) from p176; AV, RMV and Measure 5 adjustment (compression) from p21, M5 printed in whole dollars, here rounded to $1k",fy2019-20
5.2781,,1.99,1.0951,45.5757,,,2016,actual-acfr,acfr-fy2020,125,rates Sch 6 p125; total direct rate 8.3632; av_billions = Total NET Assessed Value Sch 5 p124; gap rate not levied in these years; reduction+adjustments 12569k,acfr-statistical
5.2781,,1.99,1.0951,45.5757,,,2016,actual-acfr,acfr-fy2025,132,rates Sch 6 p132; total direct rate 8.3632; av_billions = Total NET Assessed Value (after URA excess/nonprofit housing) Sch 5 p131; gap rate not levied in these years; reduction+adjustments 12569k,acfr-statistical
4.7743,0.5038,1.99,1.0623,47.35,106.94,20960,2016-17,actual-budgetary,budget-fy2020-21-vol1,238,rates from Budget's Effect on Average Homeowner p.238; AV/RMV/Measure 5 compression from Revenue Factors p.53; permanent rate 4.7743 excludes the 0.5038 gap portion (combined operations rate 5.2781); compression_loss_k = Measure 5 adjustments,fy2020-21
4.7743,0.5038,1.9900,1.0623,47.345,106.935,20960,2016-17,actual-budgetary,budget-fy2019-20-book,176,,fy2019-20
